Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747207608421
Timestamp end: 1747208388656

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.8   170.9    63.8   111.9   126.2   222.6   252.2   268.3   279.7   293.5   313.3   345.9   711.3  2492.3  7219.5  20808.2    20789
read      283.2   391.7    63.8   106.9   117.9   235.6   296.8   333.7   359.6   388.9   425.2   485.6  1103.8  7338.5 10132.4  63698.9    63647
read      286.5   420.8    63.8   105.9   116.9   234.7   296.6   333.5   359.7   389.4   426.6   488.5  1282.5  7634.7 10420.0  64762.8    64802
read      280.2   390.7    59.1   105.9   117.0   236.2   292.1   325.1   348.6   375.3   408.8   464.2  1117.0  7155.7  9915.4  55784.8    55719
read      332.4   318.2    68.9   149.0   169.9   283.2   338.6   373.2   400.6   435.5   485.8   575.5  1458.0  3978.6  8485.5 174381.1   174179
read      218.6   149.8    63.8   107.0   117.4   191.0   237.8   266.1   285.8   308.5   337.5   384.9   612.6  1641.4  3599.0 106347.0   106356
read      301.5   211.9    63.8   148.3   168.5   273.7   325.4   357.0   380.6   409.4   449.1   512.9   698.7  2784.0  8028.0 178593.7   178750
read      233.2   219.1    59.1   108.3   118.8   194.9   244.2   273.1   293.9   318.2   350.9   413.8   841.9  2980.1  7751.1 105860.6   105831
read      222.1   185.7    63.8   107.4   117.9   190.8   237.2   265.6   285.3   308.3   337.2   383.6   681.2  2147.7  7050.6 110881.4   110667
read      207.1   161.3    59.1   106.0   122.5   196.2   216.1   227.5   235.0   246.5   261.4   288.5   596.1  2104.4  7483.6   8753.9     8803
read      270.6   332.7    63.8   107.9   119.4   234.1   285.4   314.0   334.3   357.3   385.9   432.5   970.7  5745.5  7933.5  45657.3    45662
read      263.5   275.6    63.8   111.2   124.2   233.5   276.3   299.3   316.2   336.8   363.9   408.2  1074.7  4035.8  7875.1  30717.9    30867
read      269.0   325.7    63.8   107.5   118.9   233.5   284.5   312.8   333.0   356.0   384.9   433.1   963.0  5734.9  7933.0  45651.0    45656
