#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      173.5    93.1    74.4   109.9   117.4   161.9   183.7   196.0   204.8   216.2   232.2   264.9   382.3   847.6  3427.9  29943.2    30000  1746106939647  1746106949773
read      178.5    90.8    74.4   111.8   119.5   165.4   187.6   200.8   211.4   224.1   242.2   278.8   413.2   912.2  3451.9  30050.5    30005  1746106951289  1746106961405
read      180.6    92.7    74.4   112.4   120.2   166.5   189.1   202.0   212.7   225.8   245.4   287.3   440.1   935.8  3435.4  30070.4    30010  1746106962917  1746106973015
read      201.4   203.1    80.4   110.1   117.2   165.2   190.5   206.7   219.9   239.0   273.5   372.3   867.9  2815.7  6285.2  30070.1    30015  1746106974525  1746106984621
read      193.9   205.2    74.4   107.3   114.0   160.0   185.3   201.0   214.3   231.8   260.7   327.0   841.0  2856.3  6276.1  30076.1    30020  1746106986134  1746106996230
read      204.0   214.8    74.4   108.6   115.1   161.9   188.7   206.9   222.0   244.4   284.5   399.8   937.5  2765.6  6273.0  29972.0    30025  1746106997741  1746107007837
read      201.2   189.9    80.4   109.5   115.8   162.5   188.7   206.6   221.7   244.1   283.4   390.0   869.0  2636.0  5881.9  29908.5    30030  1746107009347  1746107019444
read      192.8   187.7    74.4   109.5   115.7   161.5   186.0   201.2   214.1   231.0   259.1   325.6   803.0  2780.9  6153.8  29972.5    30035  1746107020956  1746107031051
read      194.2   196.9    74.4   109.2   115.4   160.9   186.2   201.8   215.0   231.9   261.5   332.4   817.8  2782.9  6214.6  30059.4    30040  1746107032560  1746107042657
read      191.2   188.1    80.4   108.6   114.8   159.5   184.5   199.8   212.6   229.2   256.4   323.3   803.0  2773.5  6070.9  30013.2    30045  1746107044168  1746107054266
read      187.4   176.9    74.4   108.4   114.7   159.7   184.8   199.6   211.4   226.3   249.6   301.1   749.3  2706.5  6038.1  29981.0    30050  1746107055776  1746107065872
read      189.5   192.5    74.4   108.4   114.6   158.4   182.7   197.0   208.3   222.9   246.3   303.4   832.4  2734.4  6173.7  30019.3    30055  1746107067382  1746107077478
read      184.7   175.9    74.4   108.8   114.9   158.7   182.6   196.7   207.6   221.3   241.6   284.9   752.5  2676.5  6081.0  30002.4    30060  1746107078988  1746107089084
read      193.2   204.4    74.4   109.2   115.4   159.9   184.2   199.1   211.2   227.0   251.8   315.2   864.6  2784.0  6325.5  30071.0    30065  1746107090593  1746107100690
read      203.1   213.1    74.4   108.0   114.6   161.4   188.3   206.1   220.9   242.3   281.8   395.3   924.4  2848.7  6237.1  29999.1    30070  1746107102200  1746107112296
read      189.8   185.3    74.4   108.3   114.8   160.0   185.3   200.8   213.5   229.5   254.1   313.2   768.1  2754.4  6136.0  30058.8    30075  1746107113807  1746107123905
read      185.9   184.6    74.4   108.3   114.5   158.8   183.5   198.2   209.6   223.8   244.8   287.0   757.9  2737.9  6171.9  30006.9    30080  1746107125415  1746107135512
read      178.9    88.4    74.4   113.1   121.0   167.6   190.7   203.7   213.9   226.2   242.8   273.3   372.8   745.6  3711.1  30054.9    30085  1746107137022  1746107147117
read      185.1   103.3    74.4   113.5   121.3   168.3   191.9   205.9   216.9   231.7   254.3   303.8   473.4  1179.1  3670.3  30140.2    30090  1746107148628  1746107158724
read      187.1   108.1    80.4   114.4   122.3   169.7   193.5   208.1   219.1   234.3   258.5   308.7   475.3  1268.6  4130.0  30130.4    30095  1746107160234  1746107170334
read      180.3    78.9    74.4   113.2   121.2   168.7   192.2   205.4   215.7   228.6   247.1   281.5   390.2   713.0  2991.3  30032.8    30100  1746107171846  1746107181944
read      184.6    99.5    74.4   114.1   122.0   168.5   192.1   206.3   217.3   231.8   253.5   297.4   461.6  1162.7  3059.1  30118.5    30105  1746107183456  1746107193553
read      179.1    85.4    74.4   113.5   121.4   167.0   189.1   202.0   212.7   225.6   243.9   278.8   385.7   820.5  3051.0  30079.1    30110  1746107195063  1746107205159
