#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      618.2  1282.1   109.4   174.7   195.4   327.3   434.7   527.2   612.3   754.1  1043.5  1792.9  6118.8 16863.2 36349.2  29906.6    30000  1745432203077  1745432213283
read      487.1   956.8   101.3   159.7   175.7   272.3   335.5   385.3   435.9   525.9   745.1  1410.4  4955.5 11128.7 28522.6  29855.4    30005  1745432214796  1745432224923
read      291.6   247.7   109.4   154.8   168.2   251.4   294.2   322.0   344.5   372.2   415.4   506.6   917.3  3492.5  8936.9  29957.8    30010  1745432226435  1745432236534
read      313.8   329.4   101.3   154.2   168.0   255.0   301.0   333.0   358.4   391.9   445.7   578.5  1458.2  5280.7  8322.7  29926.2    30015  1745432238046  1745432248144
read      288.2   226.0   101.3   154.7   168.2   251.4   293.8   322.1   344.1   370.6   409.1   486.8   864.6  3586.8  6566.8  30051.9    30020  1745432249656  1745432259756
read      306.7   271.3   101.3   155.4   169.3   258.3   307.5   340.3   365.9   398.8   448.7   555.9  1091.6  3945.4  7863.3  30047.8    30025  1745432261266  1745432271366
read      424.3   410.3   101.3   173.6   191.5   315.6   408.2   472.5   529.0   606.8   729.9   982.2  1872.6  5586.2  9489.3  30125.3    30030  1745432272879  1745432282981
read      323.8   283.5   101.3   162.1   177.0   269.3   323.5   359.3   387.4   424.6   477.4   593.5  1193.4  4508.6  7421.2  29945.4    30035  1745432284492  1745432294594
read      275.2   155.2   109.4   163.3   177.3   253.2   289.6   312.3   329.7   351.2   383.2   438.7   626.8  1906.7  6017.1  30133.0    30040  1745432296106  1745432306204
read      267.5   115.9   101.3   162.9   176.8   250.3   284.9   306.7   322.8   343.1   370.0   416.7   543.4  1427.3  4094.7  30080.1    30045  1745432307716  1745432317818
read      295.9   192.1   101.3   167.5   182.6   263.7   306.5   332.9   352.3   375.8   412.9   489.3   810.6  2822.1  6078.4  29993.5    30050  1745432319329  1745432329431
read      282.7   167.5   101.3   164.7   179.3   259.2   299.5   323.7   341.6   363.8   393.7   453.5   660.4  1744.2  7903.5  29954.2    30055  1745432330944  1745432341042
read      275.7   137.2   101.3   163.3   177.4   255.5   294.1   317.2   334.5   354.9   382.3   429.9   599.9  1723.3  4936.5  30120.7    30060  1745432342553  1745432352654
read      279.3   189.4   101.3   163.8   178.1   256.2   295.3   318.9   336.7   358.2   387.5   439.9   641.6  1551.7 11054.0  30023.4    30065  1745432354165  1745432364263
read      276.3   131.2   109.4   163.8   178.3   255.9   294.6   317.4   334.6   355.0   382.1   429.5   621.0  1583.1  4952.6  30036.8    30070  1745432365775  1745432375875
read      278.5   150.3   109.4   163.7   178.1   255.0   293.9   316.9   334.2   354.7   383.1   434.8   667.5  2228.6  4990.4  30015.3    30075  1745432377386  1745432387490
read      295.5   164.8   101.3   165.5   180.5   265.9   311.4   337.7   357.5   382.1   418.3   495.0   792.7  2152.0  4966.0  30009.0    30080  1745432389002  1745432399103
read      305.9   180.7   109.4   166.9   182.6   271.3   319.2   347.1   369.5   397.9   441.5   536.2   862.8  2390.2  5124.1  30143.4    30085  1745432400615  1745432410713
read      276.6   164.4   109.4   164.2   178.5   255.9   294.6   317.0   333.8   353.7   380.8   429.2   593.6  1866.7  7225.7  30006.8    30090  1745432412224  1745432422324
