Random waveform, random seed
Total number of intervals = 100 (13302, 67910, 132730, 163297, 94613, 45526, 13626, 85520, 7165, 176436, 62962, 98023, 137454, 106359, 53082, 127298, 51045, 15173, 12177, 53416, 149630, 168484, 121131, 167835, 56369, 67728, 48363, 101971, 166714, 114770, 9835, 65950, 96756, 9915, 22208, 125311, 82489, 168248, 164527, 102668, 147975, 8250, 30318, 96439, 104281, 125350, 26966, 103909, 8209, 42147, 105035, 29419, 35977, 10333, 41445, 34515, 103368, 7926, 20017, 50004, 32621, 124757, 40751, 82490, 175871, 13905, 50031, 121136, 75179, 157517, 70246, 27456, 119014, 114583, 29106, 20726, 68943, 128727, 90452, 118393, 14863, 50530, 111049, 135143, 120980, 92705, 174292, 83616, 20726, 60891, 125635, 93081, 19728, 94140, 144182, 124855, 103057, 33016, 110561, 161182)
Average QPS expected = 81960
Timestamp start: 1747123931202
Timestamp end: 1747124931541

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      309.5   270.3    68.9   141.8   161.4   265.7   315.2   344.7   367.8   395.7   433.2   502.5  1494.5  3282.6  7822.3 168100.3   168248
read      241.9   174.6    68.9   125.6   140.5   220.1   259.9   283.7   301.5   323.1   352.8   400.1   527.9  2145.6  7947.9 164424.8   164527
read      249.2   263.3    68.9   107.4   118.0   199.0   255.0   291.8   320.5   359.0   412.2   502.5   865.3  2911.3 10455.4 102638.1   102668
read      276.1   296.4    68.9   117.9   131.9   219.9   268.1   295.8   317.1   343.9   383.3   466.0  1544.8  3459.8  7615.8 148028.0   147975
read      188.1   101.2    80.4   127.0   139.7   180.7   197.3   207.2   214.5   223.3   234.0   253.4   311.2  1257.3  3435.6   8213.3     8250
read      229.0   136.7    68.9   107.5   119.7   217.0   256.3   276.9   291.5   308.5   329.7   363.5   509.7  1744.6  3604.3  30339.5    30318
read      260.3   242.2    68.9   107.5   118.5   208.9   279.6   329.7   364.6   401.5   445.7   513.1   740.4  3029.5  9180.8  96335.6    96439
read      254.6   192.2    68.9   107.8   118.8   201.6   263.6   309.9   349.2   397.8   456.6   544.2   779.1  2097.6  5370.4 104414.4   104281
read      219.7   181.5    68.9   108.4   118.8   189.2   232.1   258.7   278.1   301.4   331.2   376.7   638.0  2300.2  5961.1 125290.7   125350
read      219.7   114.1    74.4   109.6   122.1   211.7   244.6   262.6   274.9   290.9   310.9   341.0   427.0  1422.8  3803.9  27088.4    26966
read      253.1   250.3    68.9   108.2   118.9   199.9   255.9   292.8   322.2   363.1   423.0   527.6  1032.8  2959.4  8261.6 103793.2   103909
read      185.0    85.3    80.4   125.8   138.5   177.9   194.0   202.8   210.8   218.9   231.1   250.4   304.7  1176.3  3087.5   8228.8     8209
read      246.9   235.4    74.4   105.2   116.1   222.6   271.4   298.6   317.2   338.3   363.7   401.3   584.5  3669.6  7741.3  42035.7    42147
read      262.4   304.8    68.9   108.6   119.6   201.9   258.6   295.6   326.0   367.9   432.2   553.2  1265.6  3704.5 10198.1 104998.5   105035
read      229.3   145.4    74.4   109.4   121.7   216.2   253.9   274.0   288.5   304.9   325.4   359.3   506.0  2171.6  3910.3  29301.6    29419
read      239.7   181.3    74.4   106.8   118.3   220.8   265.9   290.2   307.0   325.5   348.7   387.2   639.8  2584.0  5701.5  35976.6    35977
read      192.4    88.2    74.4   122.8   138.5   185.0   204.0   215.0   223.0   232.2   245.1   266.0   319.5  1231.4  3803.6  10332.1    10333
read      247.2   218.5    74.4   105.7   117.0   223.0   271.9   299.1   317.6   338.7   364.4   403.1   672.2  3544.0  7607.1  41301.6    41445
read      235.9   157.3    74.4   107.1   118.9   219.5   263.3   286.5   302.6   320.3   343.5   378.4   584.2  2374.5  3656.5  34538.6    34515
read      256.7   272.2    68.9   107.8   118.5   200.5   257.5   295.6   327.3   369.4   430.4   534.8  1042.5  3293.2  9212.1 103220.7   103368
