#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      163.2    90.2    68.9   114.0   121.7   154.5   168.4   176.9   183.7   192.6   204.8   227.9   291.5  1082.8  4000.6   4941.8     5000  1746883760876  1746883766180
read      167.2    84.2    63.8   111.3   121.4   160.2   175.6   184.9   192.2   200.7   214.5   236.9   295.8  1026.2  4575.6   9973.0    10000  1746883767685  1746883772923
read      176.3    73.2    63.8   109.4   121.8   171.2   188.9   199.1   207.1   217.0   231.1   254.5   310.8   521.9  2354.2  14940.6    15000  1746883774428  1746883779628
read      182.0    61.4    63.8   105.7   118.8   178.7   198.9   210.9   219.2   230.2   244.7   268.5   323.8   423.4  1935.7  20023.0    20000  1746883781132  1746883786334
read      190.2    74.9    63.8   103.0   115.1   187.6   210.9   224.4   234.1   246.5   261.9   285.8   340.3   505.5  2170.1  25095.0    25000  1746883787839  1746883793042
read      191.4    83.6    63.8    99.7   111.3   188.4   214.4   229.6   240.4   253.0   269.6   293.7   345.3   494.1  2538.8  29970.4    30000  1746883794547  1746883799747
read      196.2    70.1    63.8    99.2   110.2   193.1   223.4   240.2   251.9   265.4   281.7   308.5   369.1   539.2  1585.2  35058.1    35000  1746883801251  1746883806454
read      199.0    81.5    63.8    97.4   108.2   194.7   228.7   247.4   260.0   273.6   291.4   318.0   375.6   508.0  1857.3  40053.0    40000  1746883807960  1746883813161
read      204.2    84.7    63.8    98.4   109.4   198.1   236.5   256.7   270.2   285.7   304.6   332.6   393.1   518.8  1816.4  44976.4    45000  1746883814666  1746883819867
read      206.9    83.1    59.1    96.6   107.6   200.2   243.2   264.7   278.6   294.1   313.3   340.8   396.9   483.9  1495.0  50037.0    50000  1746883821371  1746883826574
read      207.5    89.3    59.1    96.1   106.6   198.5   243.4   266.2   281.0   297.2   318.0   346.9   408.4   530.5  1798.0  55038.4    55000  1746883828079  1746883833279
read      209.9    89.4    54.7    97.1   108.0   197.9   245.8   269.8   285.8   303.5   324.5   357.0   424.0   593.1  2038.2  59965.8    60000  1746883834785  1746883839987
read      208.2    90.3    59.1    96.2   106.9   194.8   242.7   268.3   285.3   304.1   326.4   359.0   424.3   543.5  2102.5  65027.9    65000  1746883841493  1746883846697
read      211.1    89.7    59.1    95.6   106.1   197.2   247.6   273.8   291.4   310.9   334.2   367.3   432.0   566.0  1195.9  69805.8    70000  1746883848202  1746883853404
