#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      376.0   436.7    93.8   153.9   168.3   260.5   325.0   373.4   417.5   487.3   621.4   937.8  2290.8  5878.8  7368.4  29921.7    30000  1745429405681  1745429415952
read      398.5   525.8   101.3   145.4   156.8   227.1   273.4   318.1   387.6   652.3   840.2  1437.8  2347.6  6184.2  9412.2  29929.3    30005  1745429417464  1745429427601
read      405.3   526.1   101.3   144.9   156.3   227.5   276.2   327.6   415.6   681.0   856.8  1461.0  2397.5  6131.3  7781.0  30069.5    30010  1745429429113  1745429439214
read      408.2   516.2    93.8   144.2   156.1   229.9   282.3   339.8   431.5   668.7   850.2  1534.4  2439.4  6011.5  6947.1  29957.8    30015  1745429440726  1745429450827
read      464.7   562.8   101.3   158.4   171.8   252.7   317.1   395.3   569.6   788.8  1060.2  1760.7  2433.9  6060.3  8745.3  29966.8    30020  1745429452338  1745429462439
read      473.8   596.8    93.8   161.0   174.5   255.5   316.1   385.8   569.2   800.0  1057.3  1767.9  2571.9  5987.6  9429.5  30002.0    30025  1745429463950  1745429474052
read      281.9   267.5   101.3   150.5   163.2   240.0   282.2   308.9   329.1   354.3   389.3   459.1  1040.6  4681.4  7428.2  30031.4    30030  1745429475563  1745429485662
read      254.7   140.7   101.3   151.6   164.2   236.8   272.8   293.5   309.5   328.8   355.6   398.9   520.2  1615.9  5994.8  29922.8    30035  1745429487174  1745429497276
read      255.8   111.4    93.8   151.5   164.5   239.5   276.1   296.9   312.6   331.3   357.3   400.8   527.5  1402.6  3424.0  30066.4    30040  1745429498787  1745429508891
read      252.2   117.8    93.8   152.2   164.8   236.8   272.5   292.2   306.6   322.6   344.8   384.7   494.6  1517.9  4692.9  30119.0    30045  1745429510403  1745429520506
read      255.5   121.6   101.3   151.5   163.8   237.3   274.3   295.4   311.0   329.0   353.2   399.0   569.2  1493.4  3938.7  30085.3    30050  1745429522017  1745429532119
read      260.6   132.0    93.8   154.1   167.1   242.3   280.1   301.8   317.6   337.3   363.6   411.1   565.7  1370.9  4897.6  30091.1    30055  1745429533629  1745429543730
read      251.4   115.7    93.8   150.9   163.4   234.5   269.9   290.3   305.3   322.4   345.7   387.7   523.9  1533.2  3557.4  30045.9    30060  1745429545241  1745429555341
read      255.3   137.1   101.3   151.8   164.6   237.8   273.7   293.9   309.0   326.5   349.8   391.5   529.8  1852.0  5213.6  29969.3    30065  1745429556852  1745429566952
read      251.7   117.5   101.3   150.7   163.6   236.9   272.4   292.6   307.5   324.4   346.3   385.6   500.0  1218.5  4568.2  30057.5    30070  1745429568464  1745429578565
read      254.4   134.1    93.8   150.8   163.8   235.8   270.9   291.7   307.3   325.8   351.2   397.5   557.5  1672.5  4477.3  29863.0    30075  1745429580077  1745429590179
read      258.8   138.1   101.3   153.3   166.4   242.0   277.7   298.3   313.8   332.2   356.4   398.0   542.9  1729.0  5063.2  30120.8    30080  1745429591690  1745429601789
read      244.8    97.7   101.3   150.1   162.2   231.2   264.6   283.8   297.5   315.2   338.0   373.2   473.2  1017.6  3151.0  30069.8    30085  1745429603300  1745429613402
