Random waveform, supplied seed
Total number of intervals = 98 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757)
Average QPS expected = 94373
Timestamp start: 1747300005184
Timestamp end: 1747300785518

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      214.5   161.8    68.9   106.1   116.7   185.3   228.9   255.9   275.5   297.8   325.1   366.4   547.5  2111.1  4968.7 128776.6   128494
read      218.3   138.3    68.9   110.9   124.5   210.7   237.7   252.5   263.1   274.3   290.8   316.2   474.7  1876.3  4806.1  20875.4    20789
read      265.3   351.8    74.4   103.1   113.4   227.0   284.7   316.2   338.6   363.9   394.9   446.0  1000.1  6113.0 10908.6  63545.5    63647
read      269.5   360.6    68.9   103.0   113.5   229.0   287.1   319.0   342.0   368.1   399.9   455.7  1159.6  5832.1 11935.9  64796.0    64802
read      262.2   348.3    68.9   103.5   114.0   228.5   281.6   310.8   331.1   353.9   381.2   426.5   822.5  6471.0  9985.3  55717.9    55719
read      325.5   315.3    68.9   146.3   167.8   282.6   333.0   362.6   384.8   412.0   449.8   515.5  1511.5  3720.9  8035.3 173902.0   174179
read      208.5   129.7    68.9   103.4   113.2   182.6   231.2   260.6   280.6   302.3   328.1   366.4   491.7  1112.9  5175.3 106496.5   106356
read      265.3   180.4    68.9   130.5   147.6   241.5   289.3   317.2   338.6   364.6   398.0   451.6   576.7  2196.9  6884.5 178832.0   178750
read      208.6   132.5    68.9   103.4   113.2   182.5   231.2   260.3   280.0   301.8   327.5   365.9   487.6  1409.7  5654.5 105855.2   105831
read      218.6   165.6    68.9   103.7   113.8   184.5   232.9   263.1   284.4   308.4   338.7   394.6   739.1  1576.0  5843.9 110941.0   110667
read      189.9    85.5    80.4   125.4   138.7   183.6   200.9   211.3   218.0   227.2   237.1   256.0   341.6  1174.7  2560.3   8859.5     8803
read      258.3   343.9    68.9   104.8   115.8   228.1   276.6   302.2   319.4   339.3   364.3   401.9   736.1  6684.2  8691.3  45562.2    45662
read      236.9   206.5    68.9   106.9   118.6   221.8   259.0   278.0   291.1   306.2   324.6   357.3   686.5  3083.5  7699.1  30886.6    30867
