#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      181.4    98.2    74.4   123.4   132.4   170.1   187.6   199.7   209.8   221.8   236.2   260.5   313.3  1089.3  3430.2   4937.0     5000  1746885421710  1746885426975
read      172.7    79.7    68.9   113.0   124.1   164.5   181.7   192.0   200.1   211.5   226.8   251.3   310.4  1043.8  3137.5   9952.2    10000  1746885428479  1746885433717
read      179.1   138.8    68.9   109.1   122.1   171.9   190.7   202.2   212.4   224.2   239.1   263.7   315.2   443.5  9147.1  14955.8    15000  1746885435223  1746885440427
read      190.4    67.5    63.8   108.0   121.7   182.8   208.5   224.3   235.0   248.3   264.6   290.0   344.7   476.8  2264.1  19960.2    20000  1746885441932  1746885447136
read      199.7    81.8    63.8   106.2   119.4   192.9   223.6   238.9   250.5   263.7   279.4   304.6   363.0   759.8  3145.1  24910.8    25000  1746885448640  1746885453848
read      200.0    71.1    63.8   100.6   112.8   192.9   229.0   247.1   259.6   273.2   290.8   316.1   369.8   479.7  1059.7  30003.6    30000  1746885455352  1746885460556
read      204.2    92.2    63.8    99.0   110.5   197.2   235.6   255.1   268.2   282.7   300.0   325.4   378.3   502.3  3068.4  34838.4    35000  1746885462061  1746885467262
read      202.8    85.4    63.8    98.7   109.8   193.3   234.1   255.5   269.5   285.0   303.4   331.0   386.1   476.6  1961.0  40008.8    40000  1746885468767  1746885473969
read      204.5    85.5    59.1    97.1   107.5   194.4   239.1   261.3   275.0   291.3   310.6   338.3   395.3   491.1  2010.6  45016.1    45000  1746885475474  1746885480679
read      205.3    92.4    59.1    95.5   105.3   194.9   241.1   263.8   278.3   294.8   314.9   343.4   401.1   498.2  2196.2  50129.6    50000  1746885482184  1746885487388
read      210.7    89.3    59.1    95.6   105.5   200.3   249.3   272.5   288.8   307.0   328.3   358.8   418.8   528.5  1777.3  54888.5    55000  1746885488892  1746885494097
read      207.0    98.0    59.1    94.6   103.6   191.2   242.7   269.3   287.2   307.0   330.0   361.8   423.4   533.0  2768.9  60063.8    60000  1746885495602  1746885500804
read      209.0    94.6    63.8    94.8   103.9   191.7   244.8   272.7   292.1   312.9   337.0   370.3   436.9   575.9  2019.9  64919.3    65000  1746885502308  1746885507511
read      207.9   100.2    63.8    93.9   102.7   188.3   243.5   272.7   293.0   314.8   340.0   373.8   436.3   540.8  3001.0  69861.8    70000  1746885509016  1746885514218
read      212.1   101.2    63.8    92.4   101.5   194.4   250.9   279.9   300.9   323.1   348.7   384.8   452.5   569.1  1989.4  74791.8    75000  1746885515722  1746885520926
read      217.6   122.2    59.1    92.4   101.0   189.4   257.5   292.8   316.7   342.0   370.7   409.7   488.2   752.8  3717.4  79884.0    80000  1746885522431  1746885527634
read      216.0   118.8    59.1    92.1   100.8   189.3   255.2   290.4   313.7   338.3   366.5   404.2   485.6   635.1  3338.5  84844.6    85000  1746885529139  1746885534339
read      217.1   115.3    59.1    92.4   101.0   185.5   255.2   294.1   320.2   346.8   376.4   418.6   499.0   662.3  1642.8  89995.2    90000  1746885535844  1746885541048
read      220.7   117.1    63.8    93.2   101.7   186.5   259.6   299.7   326.8   354.9   386.8   431.2   525.3   673.9  1595.2  94891.8    95000  1746885542553  1746885547759
read      216.9   112.3    59.1    93.5   102.1   183.4   251.8   291.9   319.6   348.5   380.5   424.7   509.4   662.6  1374.7  99793.8   100000  1746885549264  1746885554467
read      214.5   116.4    59.1    92.8   101.0   174.0   242.9   289.4   322.4   355.0   389.2   434.5   525.6   687.3  1612.5 105018.2   105000  1746885555973  1746885561176
read      231.0   132.2    59.1    96.1   105.5   185.2   261.6   315.0   350.1   383.7   421.5   473.4   588.1   767.0  1924.3 109968.0   110000  1746885562681  1746885567884
read      224.4   139.4    59.1    95.5   104.4   175.8   246.6   303.6   342.6   377.4   415.1   466.7   580.4   808.6  2937.3 115003.6   115000  1746885569390  1746885574594
read      217.8   122.1    59.1    94.0   102.6   174.8   240.4   289.8   326.2   361.3   398.2   449.9   556.4   774.8  2088.0 119938.6   120000  1746885576099  1746885581305
read      242.1   158.5    63.8    99.8   110.6   189.7   259.9   318.1   359.9   399.1   444.9   514.5   688.2  1089.1  4185.0 125190.0   125000  1746885582810  1746885588014
read      233.7   144.8    59.1    99.7   110.0   180.9   244.5   307.6   355.6   395.8   437.9   498.3   639.4   943.7  3772.0 129892.8   130000  1746885589518  1746885594718
read      338.9   363.0    63.8   113.8   128.5   212.1   267.0   330.9   427.4   549.5   741.5  1062.7  1836.2  2871.2  7594.8 135129.4   135000  1746885596223  1746885601431
read      290.3   238.4    63.8   108.9   121.1   203.6   277.7   359.3   416.7   477.2   561.7   726.6  1169.9  2140.1  3874.1 139858.9   140000  1746885602937  1746885608141
read      459.7   699.7    63.8   135.1   154.9   232.9   272.4   312.8   377.1   563.6  1017.6  2068.8  3376.7  7326.0  9243.8 139566.6   145000  1746885609648  1746885614858
read      488.9   831.9    68.9   133.7   152.9   244.0   279.0   303.6   327.7   384.7   868.5  2754.6  3706.2  7722.2  9214.8 135217.4   150000  1746885616364  1746885621571
read      463.6   779.1    68.9   137.2   158.1   231.7   263.1   285.8   309.2   364.6   870.0  2467.8  3506.7  7650.8  8128.8 141661.6   155000  1746885623078  1746885628282
read      486.6   857.8    68.9   134.8   154.7   241.1   272.0   292.6   311.8   344.6   609.2  3017.3  3702.9  7765.7  9238.4 136667.0   160000  1746885629787  1746885635004
read      464.7   867.3    68.9   131.7   152.0   229.0   254.0   270.3   284.3   305.3   372.6  3027.0  3873.3  7806.7  9135.8 143677.4   165000  1746885636509  1746885641712
read      470.6   839.8    63.8   138.6   158.0   232.8   263.0   282.3   298.5   327.8   517.0  2754.3  3763.4  7771.2  9845.2 141353.6   170000  1746885643217  1746885648419
read      459.3   845.9    68.9   133.7   156.3   225.6   249.8   266.4   280.4   305.1   415.7  2885.6  3839.8  7784.2  9348.9 145273.4   175000  1746885649925  1746885655131
read      494.3   872.2    68.9   135.7   155.0   246.0   277.4   296.9   315.4   345.3   538.6  3025.8  3830.0  7809.5  9134.1 135058.9   180000  1746885656635  1746885661840
read      462.2   818.3    68.9   132.8   153.2   229.7   257.9   276.2   294.8   332.5   631.1  2699.3  3488.9  7689.5  9373.3 143624.1   185000  1746885663345  1746885668551
read      465.1   853.4    63.8   130.8   152.3   228.8   253.5   270.1   284.7   308.3   406.1  3026.9  3555.0  7781.0  9293.1 143374.8   190000  1746885670055  1746885675260
read      472.9   863.4    59.1   131.6   150.6   234.2   262.6   279.3   293.8   316.2   391.2  3019.5  3756.5  7792.4  9414.6 141205.8   195000  1746885676766  1746885681971
read      467.1   862.9    68.9   131.7   152.6   229.1   255.2   272.2   287.4   310.4   382.4  3037.2  3876.5  7796.7  8137.3 142977.3   200000  1746885683475  1746885688690
read      470.5   866.7    68.9   130.1   150.0   231.6   259.0   275.1   290.4   312.7   384.7  3084.0  3484.9  7801.0 10260.1 141651.3   205000  1746885690195  1746885695408
read      434.7   784.7    63.8   129.0   147.8   215.1   242.9   262.1   278.8   309.9   495.5  2515.3  3651.2  7644.1  8781.5 152512.8   210000  1746885696914  1746885702116
read      440.3   799.7    68.9   131.0   146.8   211.8   242.4   264.3   285.0   323.6   506.0  2593.0  3648.4  7666.7  8418.3 150853.7   215000  1746885703622  1746885708825
read      464.1   853.7    63.8   131.5   151.8   228.0   254.4   271.8   287.8   313.3   437.4  2897.5  3780.8  7805.7  9390.4 143965.5   220000  1746885710331  1746885715535
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 77.05%,31.16%,100.00%
