#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      171.5   111.8    74.4   116.0   124.5   160.5   175.9   184.9   192.1   200.5   213.7   238.4   320.2  1223.5  4943.0   4979.2     5000  1746885876726  1746885881990
read      175.6   264.9    68.9   114.2   124.1   162.4   177.7   186.2   193.3   200.9   213.9   235.5   293.4  2713.6 11518.5   9968.0    10000  1746885883495  1746885888737
read      176.6    67.9    63.8   112.6   125.9   172.1   188.6   198.2   205.2   214.6   227.3   248.3   301.7   907.3  2179.3  15006.8    15000  1746885890243  1746885895448
read      176.3    55.3    59.1   106.5   119.7   174.6   191.8   200.7   208.4   217.0   230.1   251.7   305.3   435.5  1886.6  19963.0    20000  1746885896953  1746885902153
read      182.8    68.4    63.8   104.9   117.7   180.4   199.6   210.7   218.2   229.4   244.0   268.6   320.8   476.1  2328.9  24914.4    25000  1746885903659  1746885908858
read      186.4    62.4    63.8   102.8   114.7   185.0   206.1   217.7   227.8   239.2   254.8   280.5   338.2   466.9  1335.2  29975.5    30000  1746885910364  1746885915563
read      188.5   173.4    63.8    99.4   110.6   184.5   207.5   219.9   229.7   241.3   256.5   281.8   342.1   643.1 10534.5  34958.9    35000  1746885917068  1746885922273
read      184.2    61.2    63.8    98.8   109.4   186.0   209.3   220.9   229.7   239.8   253.7   275.0   329.9   427.9  1102.5  39953.6    40000  1746885923778  1746885928980
read      188.1   127.6    59.1    97.7   107.7   187.1   213.7   227.0   235.8   248.0   263.2   287.0   344.8   550.5  4844.5  44995.6    45000  1746885930485  1746885935686
read      187.4    99.7    59.1    97.5   107.4   187.4   215.6   229.4   238.9   250.9   266.5   290.5   342.8   447.2   994.3  49955.3    50000  1746885937191  1746885942392
read      185.8    70.2    59.1    96.0   105.4   185.4   215.5   229.6   239.4   251.4   267.0   290.8   343.1   456.9  1426.6  55090.6    55000  1746885943896  1746885949095
read      189.2   127.0    63.8    95.8   105.1   184.9   218.8   234.4   246.1   259.1   274.7   300.2   356.6   503.2  4071.5  60005.2    60000  1746885950598  1746885955800
read      187.7    76.9    63.8    95.7   104.8   182.2   218.0   234.2   246.3   259.9   276.1   302.1   361.3   552.4  2251.8  64980.6    65000  1746885957305  1746885962506
read      195.9   156.8    59.1    95.6   104.9   186.9   227.6   247.4   261.1   275.8   294.2   320.4   382.9   526.4 10952.6  69764.2    70000  1746885964010  1746885969217
read      189.7    79.0    59.1    95.1   104.2   180.0   221.2   240.4   254.0   269.1   287.3   314.0   372.6   503.0  1487.5  75038.4    75000  1746885970721  1746885975923
read      188.8    84.0    59.1    94.6   103.4   177.5   219.8   239.8   254.0   269.3   287.7   314.4   371.5   520.4  2850.4  79851.2    80000  1746885977428  1746885982628
read      189.2    76.6    59.1    94.5   103.3   176.0   217.9   241.3   257.3   273.8   293.8   321.2   382.3   495.6  1053.7  84915.2    85000  1746885984133  1746885989339
read      189.3    85.2    63.8    95.1   103.9   173.5   216.0   240.3   257.2   274.3   294.8   324.7   391.0   548.5  2320.2  89996.0    90000  1746885990844  1746885996046
read      188.6   130.4    59.1    93.5   102.0   171.3   215.5   239.7   256.8   274.7   296.1   326.7   391.1   530.5  2596.0  94823.0    95000  1746885997551  1746886002752
read      184.5    83.6    59.1    93.2   101.3   166.4   208.9   232.9   250.6   269.8   292.2   324.0   393.2   534.0  2250.2  99989.8   100000  1746886004257  1746886009459
read      188.3    88.9    59.1    94.5   103.0   170.2   214.0   238.7   256.8   275.1   296.9   329.1   396.3   575.8  2463.7 104890.4   105000  1746886010963  1746886016164
read      187.0    90.5    59.1    93.8   102.3   168.9   210.1   233.8   251.9   271.4   294.4   329.4   408.1   618.8  2518.1 110038.8   110000  1746886017670  1746886022872
read      188.3    82.7    59.1    94.6   103.2   168.8   211.3   236.9   256.5   276.8   300.9   335.4   409.3   594.7  1160.0 115060.4   115000  1746886024376  1746886029578
read      183.4    95.6    63.8    94.6   103.0   164.7   203.3   226.8   245.1   265.8   289.1   320.2   392.3   622.6  3706.8 119880.2   120000  1746886031083  1746886036287
read      187.8    89.3    59.1    94.8   103.8   168.5   209.3   234.2   253.8   274.8   298.7   332.8   402.1   671.1  1929.9 125172.8   125000  1746886037791  1746886042993
read      186.2    93.2    59.1    95.2   104.1   167.0   205.4   229.8   249.4   271.0   295.7   331.2   402.0   637.9  2612.6 129921.6   130000  1746886044498  1746886049705
read      186.8    87.6    59.1    95.7   104.9   167.7   205.6   229.6   248.9   271.1   296.6   333.5   404.5   621.7  2927.2 134957.0   135000  1746886051210  1746886056414
read      187.1    93.4    59.1    95.7   104.7   166.9   205.0   229.3   248.8   271.3   297.8   336.7   418.8   668.1  3055.5 140163.0   140000  1746886057920  1746886063120
read      184.7    81.3    59.1    96.1   105.0   165.2   201.3   224.8   243.8   266.6   293.7   333.5   417.8   624.8  1536.2 144819.4   145000  1746886064624  1746886069826
read      187.1    97.7    63.8    98.0   107.4   168.0   203.7   226.9   245.3   267.5   294.2   332.4   404.8   602.2  3065.6 150090.6   150000  1746886071330  1746886076533
read      185.7    83.8    63.8    97.5   106.9   167.4   202.3   225.1   243.3   265.6   292.4   331.0   404.3   597.9  2105.2 154763.6   155000  1746886078037  1746886083241
read      187.1    83.6    63.8    98.1   108.0   169.2   204.0   226.7   244.4   266.1   293.0   333.1   410.6   590.1  1458.7 159790.9   160000  1746886084747  1746886089949
read      192.5   103.4    59.1   100.0   110.5   173.9   209.7   232.6   251.2   272.7   299.5   339.3   426.5   687.4  2123.9 165031.2   165000  1746886091454  1746886096658
read      189.8   121.3    63.8    99.0   109.3   170.8   204.7   226.7   243.9   265.2   292.0   334.2   433.0   783.5  5144.8 170152.8   170000  1746886098162  1746886103366
read      201.6   102.6    63.8   104.5   115.6   182.3   219.5   243.6   262.0   283.6   311.1   352.8   457.6   755.2  3177.7 175202.5   175000  1746886104872  1746886110073
read      210.9    93.0    63.8   108.7   120.7   192.3   231.5   255.9   273.8   295.6   323.6   368.0   470.5   732.5  1943.4 180290.4   180000  1746886111578  1746886116780
read      201.7    97.3    63.8   107.9   119.3   185.1   220.2   242.2   258.9   278.2   303.8   342.2   425.1   647.5  3732.1 184982.3   185000  1746886118284  1746886123486
read      213.9    96.1    63.8   111.9   124.9   195.6   232.9   255.9   272.9   293.7   320.4   366.9   496.4   883.9  2104.8 189788.8   190000  1746886124990  1746886130192
read      197.0    82.9    59.1   107.9   119.2   182.5   214.3   233.3   248.9   267.5   292.0   331.3   419.6   695.6  2422.4 194941.0   195000  1746886131697  1746886136898
read      215.7   100.1    63.8   115.8   129.4   199.0   234.1   255.4   271.6   291.4   317.6   363.0   488.2   805.2  3012.6 199836.9   200000  1746886138404  1746886143603
