#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      172.2   111.4    68.9   118.3   126.6   162.6   178.3   187.1   194.8   202.7   215.9   236.4   308.7  1008.6  5474.9   4942.6     5000  1746887563233  1746887568527
read      186.3   248.8    68.9   117.1   128.4   173.7   191.6   201.5   210.0   218.9   232.6   254.9   322.9  1757.2 11517.6   9968.6    10000  1746887570033  1746887575276
read      183.9   252.2    63.8   109.6   121.5   172.1   191.2   201.6   210.1   218.9   232.2   253.8   315.2  2603.6 11168.3  14926.4    15000  1746887576780  1746887581983
read      191.3    68.0    63.8   108.0   122.6   189.2   211.4   223.0   231.1   241.3   254.9   283.0   340.6   445.0  1010.0  20014.0    20000  1746887583488  1746887588690
read      186.0    58.6    63.8   103.0   115.4   184.1   208.0   220.1   229.0   239.0   252.8   275.4   336.8   462.2  1009.6  24972.8    25000  1746887590194  1746887595397
read      193.8   246.6    63.8    99.0   111.1   187.3   213.5   226.7   235.3   246.7   260.9   285.7   344.5   616.7 12118.5  30000.6    30000  1746887596903  1746887602106
read      195.0    73.4    63.8    98.9   110.9   193.1   223.1   237.1   247.7   259.8   275.7   303.6   365.8   476.9  1455.0  35040.3    35000  1746887603610  1746887608811
read      202.3    95.7    59.1    99.3   111.2   197.4   230.1   246.3   257.6   272.2   292.3   321.4   387.3   839.7  3169.8  40082.8    40000  1746887610316  1746887615516
read      202.5    79.4    63.8    97.7   109.4   198.5   233.1   250.4   263.4   278.7   298.6   327.9   388.8   497.6  1721.0  44961.8    45000  1746887617022  1746887622223
read      203.4    86.4    59.1    97.1   108.2   197.6   234.0   252.3   266.7   283.8   305.2   336.8   401.9   505.2  1558.2  49961.4    50000  1746887623727  1746887628928
read      202.9    91.6    59.1    95.3   105.5   195.2   233.7   253.2   268.5   286.6   308.8   339.6   402.6   576.9  2709.2  54888.6    55000  1746887630432  1746887635635
read      211.5   111.9    59.1    95.0   104.9   202.8   243.2   265.5   282.9   303.5   328.7   364.7   434.4   631.4  3909.2  59998.2    60000  1746887637139  1746887642342
read      208.4    98.3    59.1    94.5   103.8   199.6   241.6   264.4   282.1   302.9   327.0   362.0   433.6   544.8  2018.4  64976.2    65000  1746887643848  1746887649049
read      206.7    91.3    59.1    93.5   102.6   195.8   239.2   262.9   281.8   303.6   329.0   365.8   446.0   576.7  1648.3  70058.2    70000  1746887650554  1746887655757
read      212.1   112.0    59.1    94.2   103.5   199.0   245.7   271.3   291.2   313.4   339.6   379.0   463.1   633.0  2647.5  74904.9    75000  1746887657261  1746887662464
read      212.4   100.5    59.1    93.2   102.4   197.2   245.8   273.5   294.8   318.0   345.7   389.3   479.8   664.5  1099.8  80137.8    80000  1746887663969  1746887669169
read      211.6   116.3    59.1    94.1   102.8   191.7   242.3   271.3   293.8   318.4   347.4   392.9   486.2   686.2  3499.8  85157.1    85000  1746887670674  1746887675879
read      216.8   109.1    59.1    93.7   102.7   194.9   249.2   282.3   306.3   332.7   365.5   414.5   509.9   654.0  2004.9  89847.4    90000  1746887677384  1746887682588
read      219.6   117.0    59.1    94.3   103.8   193.3   249.3   285.8   312.5   341.9   377.7   428.7   529.5   686.9  1775.6  95160.3    95000  1746887684093  1746887689296
read      218.2   133.1    59.1    93.8   102.7   185.5   244.0   282.8   312.9   345.9   386.0   441.5   540.3   687.4  3491.1  99984.2   100000  1746887690801  1746887696006
read      221.0   127.0    63.8    94.7   103.7   183.1   244.4   288.1   321.2   358.1   399.5   455.8   553.2   757.5  3515.4 104763.9   105000  1746887697511  1746887702716
read      226.0   137.6    63.8    95.5   104.7   180.6   244.5   296.6   335.4   376.8   422.2   480.8   587.5   836.6  2264.3 109798.2   110000  1746887704221  1746887709425
read      237.7   147.6    63.8    97.4   107.7   189.4   254.8   309.6   349.9   393.0   441.2   505.1   660.4  1192.4  2484.4 114848.1   115000  1746887710931  1746887716136
read      229.9   142.2    59.1    97.5   107.4   183.2   244.2   295.8   336.9   380.2   427.7   491.0   622.5   980.2  3687.8 120122.2   120000  1746887717641  1746887722844
read      239.1   150.0    59.1   100.2   110.9   187.7   250.2   308.1   354.1   401.2   451.4   518.9   656.9   983.4  3942.9 124826.6   125000  1746887724349  1746887729550
read      260.9   186.8    63.8   102.8   114.0   188.3   249.3   326.5   399.4   459.8   523.6   619.8   880.7  1412.6  2993.4 129927.0   130000  1746887731055  1746887736257
read      313.2   280.4    63.8   111.5   124.9   202.2   259.9   341.3   456.7   559.4   683.7   902.8  1337.9  2078.3  3328.6 135015.0   135000  1746887737762  1746887742970
read      357.5   406.3    63.8   117.5   132.5   208.6   252.5   299.1   410.4   615.2   873.8  1201.7  2012.9  2971.0  7503.1 139849.6   140000  1746887744476  1746887749684
read      381.6   513.3    63.8   122.4   138.3   208.3   243.2   272.0   313.0   548.8   962.2  1515.4  2524.5  3472.0  8004.4 144479.8   145000  1746887751189  1746887756393
