#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      171.9    73.5    68.9   119.7   128.4   165.0   180.2   188.9   196.1   204.0   215.6   234.3   298.9   960.0  2123.0   4941.8     5000  1746888728546  1746888733807
read      181.3    69.4    68.9   118.9   130.3   175.9   193.6   203.3   211.6   220.4   233.2   254.0   312.8   911.0  2039.1   9943.0    10000  1746888735312  1746888740555
read      179.5    83.4    63.8   110.3   122.7   174.3   193.3   203.5   212.1   221.5   233.9   254.2   314.8   936.2  3221.4  14991.4    15000  1746888742061  1746888747263
read      180.8    58.0    63.8   105.1   117.7   177.7   198.8   210.4   218.1   228.5   241.3   263.5   324.9   655.7  1559.0  19934.8    20000  1746888748768  1746888753968
read      186.6    58.9    63.8   103.7   115.9   184.2   208.9   221.6   230.6   241.4   254.9   279.9   337.5   465.6   963.7  24928.8    25000  1746888755474  1746888760676
read      187.6    63.7    63.8   101.7   113.7   184.7   211.3   224.8   233.6   245.0   259.1   284.1   347.6   502.3  1091.9  30082.6    30000  1746888762182  1746888767385
read      193.9    80.2    63.8    98.5   110.3   190.8   221.3   235.8   246.5   258.4   274.2   301.3   363.4   492.4  2504.0  35006.8    35000  1746888768891  1746888774091
read      197.8    80.0    59.1    98.2   109.8   194.3   226.6   242.3   253.0   267.1   285.7   315.1   379.2   504.5  1238.0  39832.2    40000  1746888775597  1746888780802
read      198.3    74.2    59.1    96.5   107.4   194.0   228.9   246.0   257.6   272.1   291.7   320.6   386.3   500.9  1235.9  45019.2    45000  1746888782307  1746888787513
read      207.6   161.9    63.8    97.0   107.7   198.5   236.9   255.7   269.8   287.3   310.6   345.1   420.2   641.4  9967.9  50006.8    50000  1746888789018  1746888794218
read      202.5    81.3    63.8    95.1   104.5   195.8   233.8   252.8   267.6   285.8   310.0   344.2   416.6   540.8  1059.8  54971.2    55000  1746888795722  1746888800923
read      213.0    94.6    63.8    94.2   104.2   205.6   246.2   267.9   285.2   306.7   334.0   372.6   457.5   621.8  1815.8  60015.4    60000  1746888802428  1746888807629
read      211.4   109.0    63.8    93.4   102.9   200.7   243.0   266.2   284.8   307.7   336.3   375.9   463.4   637.8  3507.1  64947.4    65000  1746888809134  1746888814335
read      209.2    93.9    63.8    93.9   102.6   199.3   243.9   267.8   286.6   308.1   333.8   370.4   448.0   549.7  1282.9  70049.5    70000  1746888815841  1746888821045
read      208.9   101.7    59.1    93.1   102.2   195.7   242.7   267.7   287.5   310.5   337.5   374.6   457.3   594.0  2117.0  75046.0    75000  1746888822550  1746888827749
read      207.3    97.0    59.1    91.8   100.7   193.2   241.0   267.3   287.5   310.5   337.4   374.6   460.9   588.5  2102.1  79988.2    80000  1746888829254  1746888834458
read      209.7   107.9    59.1    91.6   100.4   190.7   243.2   272.1   294.7   319.1   348.2   391.4   485.7   623.4  1843.5  85034.4    85000  1746888835962  1746888841163
