Random waveform, supplied seed
Total number of intervals = 78 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042)
Average QPS expected = 97032
Timestamp start: 1747214896100
Timestamp end: 1747215676351

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.1   383.4    63.8   105.6   121.5   204.1   223.9   234.4   243.7   254.0   271.0   314.2  1476.5  7208.9  9003.2   8183.2     8195
read      617.0   920.3    74.4   177.8   203.6   338.4   426.7   494.3   583.4   820.7  1440.9  2228.9  4127.8  9948.9 16823.3 158354.5   158594
read      518.8   800.1    68.9   163.0   189.0   309.5   384.1   436.4   483.3   568.2   780.1  1783.0  3662.6  7993.6 21106.1 149643.5   149766
read      577.1  1252.8    63.8   124.0   139.6   233.8   293.5   343.8   399.8   524.1  1056.1  2745.6  7680.8 11268.7 20825.8  10389.7    10382
read      725.3   909.8    74.4   191.2   213.8   380.9   480.9   597.1  1296.6  1514.9  1697.0  2574.9  3746.2  7998.6 17692.2 170403.3   170548
read      746.8   971.2    74.4   188.3   211.3   380.4   482.8   655.9  1324.8  1570.9  1761.9  2556.9  4018.5  9837.6 16710.5 150463.7   150565
read      748.3   914.9    74.4   189.0   212.7   386.0   497.7   716.7  1389.0  1601.1  1781.5  2464.6  3937.2  8853.1 15713.1 137009.4   137144
read      733.6   953.6    74.4   191.1   215.6   383.7   493.0   621.9  1138.4  1536.4  1738.6  2350.5  4158.9  9150.8 14079.8 143320.8   143496
read      736.0   927.7    80.4   190.9   215.0   385.1   487.5   597.4  1147.4  1555.4  1782.1  2691.4  3957.1  8289.3 15672.0 144691.8   144743
read      738.8   921.5    74.4   190.8   214.2   381.8   487.0   628.5  1293.6  1570.9  1773.9  2613.3  3953.4  8111.9 15722.4 116724.4   116745
read      736.3   887.0    74.4   190.1   213.9   386.1   498.4   739.3  1360.7  1572.6  1743.2  2183.9  3925.8  8315.0 13870.6 129319.8   129314
read      715.9   912.4    74.4   187.9   211.8   377.6   479.1   619.6  1161.1  1518.9  1716.5  2140.1  4004.4  9012.2 14369.9 144652.7   144723
read      687.6   934.5    74.4   185.8   210.0   365.3   458.7   548.6   762.4  1418.9  1672.6  2168.9  4071.0  9078.1 15470.6 117354.4   117379
read      619.8   858.4    63.8   183.1   207.7   351.0   435.4   499.9   583.4   827.1  1525.3  2003.1  3826.8  8699.1 15279.8 120030.8   119931
read      565.5   773.5    74.4   179.5   205.8   342.9   424.3   479.9   540.7   676.6  1265.6  1817.4  3667.8  7999.4 14599.0 131946.6   132052
read      638.8   846.3    74.4   178.5   203.8   357.3   437.8   503.7   618.6  1187.8  1622.3  2088.0  3815.9  8057.4 13790.7 143511.1   143350
read      692.5   875.5    74.4   181.1   204.5   367.5   454.1   549.4   969.3  1498.7  1709.4  2353.7  3871.4  8074.3 13958.4 143583.0   143518
read      707.4   853.5    74.4   183.0   205.7   372.4   462.9   598.4  1293.0  1542.0  1725.1  2299.4  3816.0  7881.1 13630.3 172914.6   172981
read      719.2   897.6    74.4   183.6   206.2   372.2   462.6   595.1  1299.0  1549.7  1735.2  2457.5  3883.2  8048.5 13820.8  93951.1    94027
read      699.0   832.5    63.8   182.9   205.3   367.5   457.8   579.4  1283.7  1533.8  1720.5  2343.7  3767.5  7211.7 13347.1 169845.8   170019
read      704.8   846.2    74.4   182.5   205.4   367.7   457.6   588.0  1302.6  1542.8  1724.1  2341.4  3792.9  7836.7 12394.2 178978.7   179090
read      723.5   905.5    74.4   183.3   206.7   372.2   463.9   631.6  1326.1  1550.2  1725.9  2353.1  3915.4  8058.3 13125.9  47153.9    47130
read      764.3  1012.9    80.4   184.0   208.1   378.1   479.4   756.1  1387.3  1582.0  1745.5  2415.4  4822.4  8110.7 12311.4  19422.6    19439
