#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      175.8   257.6    74.4   118.9   126.9   160.3   174.5   183.1   189.2   197.7   209.5   231.2   305.8  3027.0 11229.3   4942.8     5000  1746886532235  1746886537495
read      168.3    79.2    68.9   115.6   125.7   161.7   176.2   184.6   191.2   199.4   211.4   231.7   294.0  1003.1  3773.0   9960.8    10000  1746886539001  1746886544241
read      175.5   228.2    68.9   111.6   123.0   166.5   182.3   191.0   197.7   205.9   217.2   236.8   302.1  1003.2 11513.9  15045.6    15000  1746886545745  1746886550947
read      175.4    64.7    68.9   107.3   120.1   172.5   189.5   199.0   206.0   214.7   227.0   249.2   310.5   489.9  2781.2  19908.8    20000  1746886552452  1746886557652
read      180.3    57.4    63.8   104.6   116.8   178.1   197.8   208.6   216.0   225.8   237.9   263.7   328.2   506.4  1464.4  24953.2    25000  1746886559157  1746886564356
read      182.5    67.2    63.8   101.3   112.6   182.0   203.0   214.0   221.8   231.4   245.4   270.2   334.0   490.8  2029.0  30104.0    30000  1746886565861  1746886571061
read      186.1   182.2    59.1    99.8   110.8   183.7   206.4   217.5   226.2   235.2   250.8   275.0   343.2   703.8 12628.6  35002.4    35000  1746886572567  1746886577770
read      185.2    80.4    63.8    97.8   108.4   185.8   209.2   220.4   229.0   238.4   252.5   276.2   352.5   722.9  2568.3  39879.8    40000  1746886579275  1746886584473
read      182.2    67.2    59.1    97.6   107.6   183.0   208.8   220.5   228.7   237.3   250.8   271.9   331.3   483.3  2358.8  44960.4    45000  1746886585978  1746886591177
read      187.6    86.9    59.1    97.4   107.4   186.0   215.1   228.2   236.6   249.0   265.0   290.5   355.5   570.9  3495.3  49967.4    50000  1746886592682  1746886597883
read      185.4    71.8    63.8    95.8   105.3   183.3   215.7   229.5   238.8   250.7   266.3   290.6   347.4   450.1  1681.4  55010.0    55000  1746886599387  1746886604586
read      188.0    96.8    63.8    95.9   105.5   184.9   219.5   233.1   243.5   254.9   271.1   295.3   349.5   464.3  2374.9  60106.4    60000  1746886606090  1746886611289
read      186.0    83.2    59.1    95.4   104.6   180.7   217.1   231.6   242.3   254.8   271.7   296.9   356.5   461.8  1740.2  64934.2    65000  1746886612794  1746886617994
