#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      230.3   188.2   118.1   159.7   166.8   210.0   229.7   240.8   249.4   259.5   272.8   298.3   600.8  2666.7  6289.1  29892.9    30000  1745443078903  1745443089095
read      223.7   189.9   118.1   152.9   160.8   200.3   220.2   231.4   239.5   250.2   264.9   292.8   706.2  2619.9  6245.2  30044.3    30005  1745443090607  1745443100755
read      231.1   193.2   118.1   159.2   166.1   207.4   226.8   237.0   246.1   255.5   270.7   299.3   796.5  2668.6  6276.6  29890.5    30010  1745443102268  1745443112378
read      226.0   191.8   118.1   153.5   161.8   202.5   222.6   233.4   242.0   251.8   266.5   293.7   751.1  2664.4  6186.3  29968.3    30015  1745443113891  1745443123998
read      229.8   200.3   118.1   156.7   164.4   205.7   225.7   235.9   245.3   254.7   270.1   297.3   756.9  2727.5  6316.0  30069.3    30020  1745443125513  1745443135616
read      230.4   204.6   118.1   156.7   164.3   205.3   225.4   235.9   245.3   254.8   270.5   299.8   810.8  2685.3  6358.8  30043.3    30025  1745443137127  1745443147235
read      228.6   197.1   118.1   156.9   164.3   204.6   224.7   235.2   244.5   254.2   269.6   296.9   714.5  2719.6  6286.7  30131.2    30030  1745443148748  1745443158859
read      229.2   213.5   118.1   155.8   163.5   204.9   224.8   235.0   244.0   253.5   268.5   295.6   749.6  2716.0  6439.5  30116.0    30035  1745443160376  1745443170482
read      225.2   198.7   118.1   153.6   161.6   201.1   220.7   231.5   239.3   249.6   263.6   289.7   791.5  2689.0  6292.0  30019.1    30040  1745443171998  1745443182101
read      229.4   195.0   118.1   155.5   163.7   205.4   225.9   236.5   246.0   255.8   270.9   298.3   742.3  2694.4  6195.3  29998.2    30045  1745443183615  1745443193717
read      233.1   221.6   118.1   157.2   164.6   206.6   227.0   237.9   247.2   257.4   272.3   304.0   852.1  2895.5  6419.8  30091.6    30050  1745443195231  1745443205340
read      231.2   206.8   118.1   156.7   164.3   206.5   226.7   237.2   246.4   256.1   271.2   301.7   751.4  2766.9  6360.6  30026.7    30055  1745443206859  1745443216969
read      227.9   193.6   118.1   157.1   164.5   204.6   224.2   234.6   243.5   253.2   268.1   294.6   740.7  2624.9  6256.1  30129.6    30060  1745443218481  1745443228586
read      228.3   197.8   118.1   155.8   163.5   204.7   224.5   234.9   243.9   253.6   268.5   294.8   766.2  2694.2  6300.6  30118.5    30065  1745443230100  1745443240204
read      215.8    77.3   118.1   161.3   168.4   209.7   227.7   236.8   244.9   252.9   265.2   283.6   337.6   628.5  3152.4  29999.9    30070  1745443241716  1745443251826
read      217.5    82.0   109.4   162.0   169.6   211.0   228.9   238.4   246.3   254.2   266.8   285.7   340.5   725.1  3980.4  30117.5    30075  1745443253339  1745443263445
