#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      169.2    79.0    68.9   107.6   115.0   160.4   181.3   192.9   201.2   212.3   226.8   252.3   342.8   694.6  2750.3  29909.3    30000  1746192877241  1746192887376
read      169.8    66.7    68.9   109.4   116.2   163.3   184.7   196.2   204.2   214.3   227.5   249.4   315.0   520.4  2490.3  29987.3    30005  1746192888888  1746192899006
read      170.6    75.7    74.4   109.4   116.4   161.9   183.4   195.1   203.3   213.9   227.7   251.5   333.8   871.1  2696.5  29995.7    30010  1746192900517  1746192910615
read      181.5   160.2    74.4   104.9   111.9   157.6   181.2   194.6   204.5   217.1   235.2   278.8   728.0  2252.4  4936.6  30103.1    30015  1746192912126  1746192922228
read      178.8   151.6    74.4   104.7   111.6   156.7   179.2   192.0   201.3   214.0   231.6   271.9   690.7  2132.4  4796.9  29993.7    30020  1746192923738  1746192933840
read      177.6   154.4    74.4   104.5   111.6   155.5   178.5   191.4   201.0   213.8   231.2   269.0   654.1  2170.2  4825.6  29980.9    30025  1746192935351  1746192945455
read      188.6   209.1    74.4   104.5   111.7   157.8   181.4   195.3   206.1   219.8   242.2   305.6   886.4  2615.9  7894.2  30062.8    30030  1746192946967  1746192957135
read      189.1   220.6    74.4   104.6   111.8   158.4   182.2   196.3   207.2   221.1   243.7   307.9   802.2  2741.2  8657.4  30040.3    30035  1746192958649  1746192968880
read      180.0   215.0    68.9   103.2   110.1   155.6   179.6   193.0   202.5   215.4   232.8   270.9   676.9  2532.0  7532.2  30043.1    30040  1746192970395  1746192980618
read      176.3   149.5    74.4   105.1   112.1   157.7   181.1   194.2   203.7   216.0   232.6   266.0   493.8  2161.3  4397.3  30000.1    30045  1746192982128  1746192992225
read      175.0   160.9    68.9   103.2   110.3   154.6   177.3   189.9   199.6   212.1   229.2   263.5   605.8  2144.3  5231.7  29998.9    30050  1746192993737  1746193003833
read      181.5   164.1    74.4   105.0   111.6   157.5   181.0   194.4   204.3   217.1   235.3   279.1   692.0  2283.2  5012.2  30071.5    30055  1746193005343  1746193015445
read      188.0   172.1    74.4   105.0   112.1   158.3   182.5   197.1   208.9   224.3   249.3   318.2   814.3  2314.5  4910.0  30073.5    30060  1746193016956  1746193027058
read      180.0   161.1    74.4   103.6   110.4   155.1   179.5   193.5   203.6   217.2   235.9   282.5   690.3  2189.4  5224.5  30069.6    30065  1746193028570  1746193038666
read      173.8   154.2    74.4   104.1   110.9   154.0   175.5   187.2   196.8   208.1   223.7   254.3   609.7  2156.8  5973.7  30159.8    30070  1746193040177  1746193050274
read      173.2   159.5    74.4   103.5   110.3   153.5   175.9   188.1   197.8   209.5   225.3   254.3   566.9  2181.2  6083.2  30054.5    30075  1746193051791  1746193061890
read      171.8   142.2    74.4   105.0   111.9   154.5   176.3   188.2   197.5   208.6   223.5   250.2   451.4  2125.6  4819.2  29971.7    30080  1746193063400  1746193073502
read      165.9    77.9    74.4   107.0   114.3   158.7   179.1   190.0   198.2   208.2   220.9   242.9   310.7   523.8  3229.8  30060.2    30085  1746193075013  1746193085111
read      168.6    76.7    68.9   106.7   114.2   159.0   180.6   192.7   201.2   212.5   227.0   252.2   344.0   846.4  3008.3  30027.0    30090  1746193086623  1746193096720
read      169.6    88.5    68.9   106.9   114.5   159.8   181.3   193.5   202.0   213.5   228.5   254.5   352.3   746.5  3492.7  29950.5    30095  1746193098231  1746193108328
