#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      255.2   310.7    93.8   134.6   144.2   197.4   224.7   240.9   254.0   271.9   301.4   441.3  1854.7  3691.6  6437.2  29951.3    30000  1745420113409  1745420123599
read      264.0   328.1    86.8   133.4   143.1   196.7   225.2   243.3   258.6   279.4   317.7   498.6  2061.9  3519.6  6379.7  30039.5    30005  1745420125108  1745420135229
read      291.1   389.0    93.8   138.7   148.6   202.1   231.7   251.8   269.8   297.1   381.9   717.7  2255.1  4695.2  6426.8  30096.8    30010  1745420136739  1745420146835
read      247.0   254.8    93.8   135.9   145.6   201.9   232.2   251.5   267.0   286.4   314.4   388.7  1453.8  3146.3  6260.5  30123.8    30015  1745420148344  1745420158441
read      221.7   143.1    93.8   137.5   146.8   202.0   231.3   248.8   262.1   277.6   297.7   332.7   476.7  2277.0  4922.1  30081.7    30020  1745420159950  1745420170047
read      227.8   155.9    93.8   138.2   148.4   206.9   236.0   254.1   267.6   283.3   304.0   340.5   500.9  2487.2  4976.7  30015.1    30025  1745420171556  1745420181656
read      223.2   154.7    93.8   134.5   144.5   201.8   231.2   248.9   262.2   277.6   298.1   336.3   539.7  2473.7  5089.0  30055.3    30030  1745420183166  1745420193265
read      229.0   160.6    93.8   138.2   148.0   205.7   234.9   253.0   266.5   282.4   304.3   344.0   668.2  2508.0  4565.9  30041.7    30035  1745420194775  1745420204873
read      223.6   138.2    93.8   138.2   148.0   203.7   232.1   249.5   262.6   277.5   297.7   334.8   546.1  2259.4  4345.4  30073.1    30040  1745420206383  1745420216481
read      223.0   133.0    93.8   136.4   146.4   202.7   232.3   250.1   263.5   279.0   299.5   337.4   561.6  2186.8  3482.7  30001.7    30045  1745420217991  1745420228090
read      227.1   147.5    93.8   137.7   147.1   204.0   234.3   253.1   267.5   284.7   307.7   347.5   599.2  2239.4  4382.9  30177.4    30050  1745420229600  1745420239699
read      226.7   158.0    93.8   139.3   149.2   204.5   233.1   250.7   264.1   279.8   301.5   340.8   597.3  2348.5  5755.2  30128.8    30055  1745420241209  1745420251310
read      224.4   148.8    93.8   138.2   147.9   204.3   233.1   250.5   263.6   278.7   299.3   336.0   547.1  2198.2  5339.6  29973.5    30060  1745420252820  1745420262918
read      226.0   146.7    93.8   138.7   149.0   206.1   234.6   252.3   265.7   281.2   301.6   337.6   514.0  2396.3  4843.3  30034.0    30065  1745420264428  1745420274526
read      231.5   156.4    93.8   140.0   150.4   208.5   237.5   255.8   269.5   286.3   309.0   350.5   677.4  2400.4  5023.1  30066.6    30070  1745420276036  1745420286137
read      218.8   129.0    93.8   137.3   146.2   199.5   227.9   244.8   257.5   273.0   293.6   328.8   536.1  1962.2  4230.3  30076.5    30075  1745420287647  1745420297748
read      225.3   147.5    93.8   139.3   149.0   204.0   232.3   249.6   262.9   278.4   299.7   338.3   567.8  2393.2  4854.3  30014.8    30080  1745420299259  1745420309357
read      221.9   138.7    93.8   136.5   146.0   201.7   230.8   248.4   261.9   277.4   298.1   335.5   518.6  2202.3  4140.8  30149.9    30085  1745420310867  1745420320966
read      216.8   120.4    86.8   139.1   149.0   201.8   227.7   242.7   253.9   268.4   287.2   317.7   434.0  1752.6  4659.8  30030.7    30090  1745420322476  1745420332575
read      209.4    84.0    93.8   141.7   152.1   202.8   225.0   236.2   246.0   256.2   270.1   291.1   338.3   621.8  4091.5  30024.8    30095  1745420334086  1745420344186
read      207.2    67.2    86.8   139.3   149.8   201.6   224.3   235.7   245.5   255.7   269.8   290.6   335.3   462.1  2876.0  30158.9    30100  1745420345695  1745420355789
read      207.6    80.3    93.8   140.3   150.6   200.9   223.4   235.1   244.9   255.1   269.6   290.7   337.9   546.7  3756.0  30050.3    30105  1745420357298  1745420367396
read      207.4    74.6    93.8   141.6   151.7   201.2   223.2   234.6   244.0   253.9   268.2   288.8   333.3   468.1  3793.7  30058.1    30110  1745420368905  1745420379002
read      208.5    81.7    93.8   140.6   150.9   202.2   224.8   236.3   246.1   256.2   270.3   291.2   336.1   521.5  3325.9  30099.1    30115  1745420380512  1745420390610
read      207.1    75.6    93.8   139.0   149.6   200.9   223.5   235.1   244.9   254.9   269.5   290.5   337.0   507.5  2952.7  30169.0    30120  1745420392120  1745420402217
read      209.2    82.7    93.8   140.3   150.8   203.0   225.8   237.5   247.2   257.8   271.4   292.5   338.7   509.5  4177.8  30133.7    30125  1745420403727  1745420413826
read      213.0   176.9    86.8   139.6   150.0   200.8   223.5   235.2   245.1   255.4   270.0   291.6   342.1  2910.3  6715.4  30081.0    30130  1745420415336  1745420425433
read      206.5    91.0    86.8   139.0   149.2   199.3   221.3   232.9   242.0   252.4   266.6   287.7   336.4   918.9  3793.6  30060.7    30135  1745420426943  1745420437041
