#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      167.8    88.1    68.9   105.9   113.9   159.2   180.0   191.3   199.5   210.1   223.7   248.4   334.3   743.7  3153.0  29984.0    30000  1746192424779  1746192434925
read      169.6    75.0    74.4   108.2   115.8   161.0   181.9   193.4   201.4   212.4   226.7   251.7   337.5   761.0  2910.2  30094.4    30005  1746192436438  1746192446556
read      167.9    78.4    63.8   104.9   113.5   159.0   180.7   192.7   201.1   212.2   226.4   251.3   338.6   640.3  3121.9  29988.1    30010  1746192448068  1746192458172
read      176.7   151.7    68.9   106.5   113.5   159.4   182.2   195.3   204.9   216.9   233.4   268.2   469.8  2037.4  5137.6  29958.1    30015  1746192459683  1746192469786
read      187.0   182.5    74.4   105.7   112.6   160.0   184.0   197.8   208.6   222.2   243.5   296.3   804.9  2561.0  5096.4  30065.4    30020  1746192471297  1746192481397
read      182.6   154.7    68.9   104.9   112.1   158.1   181.7   195.8   206.6   220.1   240.8   291.3   688.0  2169.9  4785.9  29936.0    30025  1746192482910  1746192493010
read      179.1   144.4    74.4   105.5   112.4   157.9   180.9   194.3   204.2   217.1   235.1   278.3   605.3  2112.4  3770.5  29998.2    30030  1746192494522  1746192504623
read      178.6   148.0    68.9   105.0   112.1   157.0   179.8   193.0   202.5   215.8   234.1   275.9   614.3  2149.6  4834.4  30081.0    30035  1746192506135  1746192516235
read      185.7   161.9    74.4   104.5   111.6   157.6   181.5   196.2   208.1   224.0   249.8   317.3   725.9  2199.3  4790.0  29953.4    30040  1746192517746  1746192527846
read      179.6   154.8    74.4   104.8   111.8   156.4   179.7   193.4   203.3   216.6   235.1   277.9   657.7  2180.0  5126.8  30066.0    30045  1746192529357  1746192539462
read      179.5   141.7    74.4   105.8   112.6   157.8   180.7   194.2   204.4   217.8   237.8   286.2   607.7  2115.9  4308.4  30092.5    30050  1746192540974  1746192551077
read      183.8   156.7    74.4   105.4   112.5   157.8   181.8   196.3   207.6   222.4   245.7   302.6   676.7  2182.6  4848.2  30043.2    30055  1746192552589  1746192562689
read      181.0   160.1    74.4   104.5   111.4   156.4   179.5   193.1   203.4   217.4   238.1   291.2   677.9  2145.2  6036.0  30099.5    30060  1746192564201  1746192574303
read      184.8   176.0    74.4   103.7   110.6   156.4   180.1   194.5   205.7   220.5   245.1   309.1   757.2  2473.7  5479.2  30026.1    30065  1746192575814  1746192585915
read      187.9   166.5    74.4   105.1   112.2   158.5   182.7   197.4   209.1   224.5   249.4   318.0   856.7  2182.6  4067.2  30057.8    30070  1746192587427  1746192597526
read      234.5   307.0    74.4   105.9   113.3   164.5   193.8   214.5   233.4   266.9   340.0   573.9  1676.5  3745.7  7048.0  29993.0    30075  1746192599038  1746192609138
read      192.7   188.4    74.4   102.7   110.3   156.9   182.3   198.2   211.6   229.6   261.3   351.9   991.5  2456.1  4906.0  29979.0    30080  1746192610651  1746192620749
read      203.1   205.5    68.9   107.3   115.1   164.7   189.4   205.3   218.4   237.7   274.4   387.3  1019.9  2693.6  5309.1  30050.8    30085  1746192622263  1746192632362
read      174.9    92.0    68.9   108.5   116.0   161.5   183.5   196.5   206.2   218.1   235.5   272.0   423.4  1074.2  3181.9  30048.9    30090  1746192633871  1746192643972
read      175.1    98.7    68.9   106.9   114.7   160.2   182.5   195.7   205.6   218.1   235.9   274.2   443.4  1323.8  3322.0  30135.5    30095  1746192645485  1746192655584
read      177.2   102.4    68.9   105.4   114.0   161.5   185.7   199.9   210.9   223.9   242.5   281.4   455.1  1252.8  3826.3  30132.3    30100  1746192657095  1746192667194
read      175.5   108.1    68.9   105.9   113.8   159.9   182.4   195.6   205.4   218.0   236.2   277.7   470.4  1296.8  3754.9  30162.5    30105  1746192668706  1746192678807
read      181.9   122.4    68.9   107.5   115.2   161.3   185.0   199.1   210.3   224.4   245.9   296.9   572.4  1655.7  3530.2  30151.5    30110  1746192680318  1746192690417
read      169.5    78.5    68.9   106.8   114.7   159.9   180.9   192.8   201.4   213.1   228.2   255.0   357.3   702.7  3067.1  30068.5    30115  1746192691930  1746192702032
read      172.9    85.8    63.8   108.2   115.7   161.1   182.6   194.9   203.7   215.4   231.7   264.2   398.8  1032.5  2916.4  30101.1    30120  1746192703545  1746192713646
read      179.7   109.8    74.4   109.7   117.0   163.2   184.9   197.7   207.7   219.9   238.9   283.3   503.5  1538.9  3489.4  30066.8    30125  1746192715157  1746192725255
read      169.8    73.0    68.9   108.3   115.9   161.5   182.8   194.5   202.4   213.5   227.5   251.2   328.4   641.4  2875.9  30161.8    30130  1746192726766  1746192736866
read      167.3    69.1    68.9   108.8   116.1   160.1   180.5   191.6   199.5   209.6   222.4   244.5   310.6   537.9  3224.8  30154.9    30135  1746192738377  1746192748479
read      170.6    73.6    68.9   106.8   114.6   160.5   182.4   194.8   203.7   215.3   230.8   258.9   363.4   799.9  2551.3  30152.4    30140  1746192749990  1746192760093
read      169.6    69.2    74.4   109.0   116.1   160.9   182.4   194.1   202.0   213.1   227.2   251.9   336.7   615.1  2816.0  30175.9    30145  1746192761606  1746192771704
read      167.1    63.3    68.9   107.4   115.0   159.3   179.9   191.3   199.6   210.1   223.5   247.0   324.3   578.2  2393.7  30151.2    30150  1746192773215  1746192783316
read      170.5    86.4    68.9   108.3   116.0   160.6   181.4   192.8   200.9   211.7   225.5   250.1   357.5  1095.9  3258.5  30184.4    30155  1746192784827  1746192794926
read      167.4    82.3    68.9   107.2   114.6   159.0   179.8   191.2   199.5   210.0   223.5   247.4   327.4   615.4  3826.9  30057.2    30160  1746192796438  1746192806538
read      169.0    65.3    68.9   107.8   115.5   161.1   182.2   193.6   201.5   212.1   225.8   249.8   337.4   633.0  2491.5  30127.3    30165  1746192808050  1746192818150
read      167.7    72.2    68.9   107.4   115.2   159.5   180.9   192.8   201.0   211.9   225.7   248.6   317.9   541.5  2628.4  30168.8    30170  1746192819661  1746192829766
