#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      177.9    75.6    74.4   113.6   121.7   167.5   189.1   201.7   211.8   223.7   240.0   271.3   359.1   707.5  2919.6  29970.4    30000  1746107854346  1746107864529
read      176.7    91.1    80.4   112.6   120.4   165.2   187.0   200.0   209.9   221.4   237.3   269.9   359.7   984.1  3453.2  30031.0    30005  1746107866041  1746107876164
read      183.6   108.9    74.4   112.6   120.6   167.5   191.3   205.5   216.5   230.9   251.8   292.6   440.0  1416.5  3922.3  29979.7    30010  1746107877674  1746107887769
read      191.9   202.6    74.4   109.6   115.9   161.3   185.8   200.7   212.9   228.4   252.4   306.7   811.5  2863.4  6280.5  29982.4    30015  1746107889280  1746107899375
read      189.8   192.8    74.4   108.4   114.9   159.5   183.7   198.7   210.7   225.9   249.2   300.7   832.8  2810.4  6141.6  30042.6    30020  1746107900886  1746107910981
read      190.4   191.0    74.4   108.1   114.7   160.5   185.0   200.3   212.8   228.7   253.3   307.7   807.3  2769.0  6157.2  30048.2    30025  1746107912492  1746107922589
read      185.9   187.7    80.4   107.9   114.2   158.2   181.9   196.2   207.3   221.4   242.9   289.2   790.8  2767.6  6081.6  29993.8    30030  1746107924100  1746107934198
read      191.7   194.5    74.4   108.2   114.4   158.6   182.9   198.3   211.2   228.4   255.6   319.2   842.7  2792.0  6046.4  29997.7    30035  1746107935709  1746107945809
read      195.6   192.3    80.4   108.6   114.9   160.6   186.4   203.1   217.1   235.6   269.3   341.4   837.0  2771.6  6060.3  29962.1    30040  1746107947318  1746107957416
read      199.7   216.0    74.4   107.2   113.7   159.3   183.9   200.2   214.7   234.8   273.7   368.6   968.2  2823.0  6207.4  30142.5    30045  1746107958926  1746107969021
read      195.0   203.0    80.4   107.3   113.7   158.4   183.8   200.1   213.9   232.0   263.4   333.3   896.7  2841.6  6104.8  30056.5    30050  1746107970531  1746107980630
read      208.0   227.5    74.4   108.7   115.2   162.0   189.1   207.7   223.6   247.5   291.6   410.6  1117.3  2853.5  6189.8  30139.9    30055  1746107982139  1746107992236
read      248.3   393.3    74.4   107.5   114.6   164.1   193.9   215.7   235.6   272.1   350.7   628.4  1890.1  4886.3  9197.4  30052.3    30060  1746107993746  1746108003843
read      263.9   351.6    74.4   109.2   115.9   167.5   202.1   232.9   268.4   332.1   468.3   750.2  1848.2  4073.8  6924.6  30065.1    30065  1746108005356  1746108015453
read      258.1   340.9    80.4   109.1   115.6   166.2   200.3   229.1   260.9   318.8   448.0   726.2  1799.9  4064.8  6353.9  30083.9    30070  1746108016968  1746108027063
read      200.1   205.5    74.4   107.5   114.2   159.9   185.8   203.1   218.0   240.0   279.1   373.0   913.6  2783.1  6178.3  30047.0    30075  1746108028577  1746108038673
read      198.0   186.6    74.4   109.3   115.9   162.7   187.5   203.9   217.8   237.0   272.7   358.8   852.8  2652.5  5216.5  30147.9    30080  1746108040183  1746108050279
read      217.8   217.3    74.4   113.3   121.6   170.9   198.5   218.3   237.1   269.3   325.7   466.9   991.8  2719.1  7287.3  30013.5    30085  1746108051793  1746108061891
