#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      161.2    73.1    68.9   113.0   121.0   153.6   167.4   175.1   181.9   189.5   200.8   220.3   287.5   966.7  2013.2   4938.2     5000  1746889077825  1746889083130
read      164.1    68.1    63.8   112.4   121.4   158.1   172.6   181.6   187.4   196.4   207.7   228.2   285.9   909.8  2919.1   9992.2    10000  1746889084633  1746889089871
read      168.7    58.6    63.8   109.8   120.5   163.8   180.2   189.1   196.4   204.4   216.3   235.5   296.8   889.0  1998.5  15015.6    15000  1746889091376  1746889096578
read      179.6    85.3    63.8   109.2   121.1   174.5   192.7   202.3   210.8   219.7   233.4   258.3   335.4   924.6  3417.0  19995.1    20000  1746889098082  1746889103285
read      185.7    82.1    63.8   106.5   119.0   181.0   201.6   213.3   221.5   231.8   246.7   272.4   357.9   946.6  2643.5  24972.0    25000  1746889104789  1746889109992
read      185.8    75.5    63.8   104.0   116.0   183.0   205.3   216.8   225.5   234.8   249.5   273.2   345.5   838.4  2774.3  29970.6    30000  1746889111496  1746889116696
read      185.9    66.1    63.8   102.2   113.7   184.1   208.4   220.8   229.7   240.2   254.2   277.8   344.1   479.2  1272.2  34952.4    35000  1746889118201  1746889123405
read      185.8    74.1    59.1   101.0   111.8   185.7   209.7   221.2   229.4   238.5   251.6   273.3   339.1   571.8  2817.8  40100.6    40000  1746889124910  1746889130113
read      187.3    60.4    63.8    99.7   110.4   188.8   215.1   227.4   235.1   245.9   258.6   279.9   340.1   465.0   938.5  45124.1    45000  1746889131618  1746889136821
read      191.3    69.7    59.1    99.0   110.1   191.3   220.8   233.6   243.0   253.2   267.7   290.9   359.2   518.1  2033.7  50124.2    50000  1746889138325  1746889143528
read      188.7    67.9    59.1    97.3   107.7   188.1   219.6   232.9   242.4   252.7   267.3   290.4   353.0   495.2  1080.5  54937.0    55000  1746889145033  1746889150237
read      192.3    79.9    59.1    96.3   106.4   189.3   225.1   240.1   250.1   262.0   275.8   302.4   374.6   559.2  1780.6  60058.8    60000  1746889151742  1746889156944
read      188.2    73.6    63.8    95.7   105.5   185.1   221.4   235.9   246.0   256.7   270.8   293.4   350.9   474.8  1487.8  65008.6    65000  1746889158450  1746889163652
read      190.7    78.8    59.1    95.8   105.5   185.3   224.2   240.3   250.6   262.7   276.4   302.0   367.1   518.4  2451.5  70078.4    70000  1746889165157  1746889170361
read      193.3    81.6    59.1    96.3   106.4   185.5   227.3   244.8   256.0   268.8   285.2   311.4   380.1   556.0  1943.7  74939.8    75000  1746889171868  1746889177072
read      186.1    75.2    63.8    94.6   103.6   177.1   219.1   236.6   247.8   260.1   274.2   298.9   365.9   510.6  1274.0  79810.4    80000  1746889178577  1746889183779
read      189.0    80.1    63.8    95.1   104.2   176.4   220.1   239.5   251.9   266.2   283.9   312.7   394.9   662.2  1803.7  85061.9    85000  1746889185284  1746889190486
read      190.3   102.7    63.8    94.8   103.9   176.2   220.7   241.1   253.8   268.3   287.0   317.6   412.5   658.9  2055.9  90121.9    90000  1746889191990  1746889197193
read      196.3   118.5    59.1    95.6   105.1   177.5   222.1   243.8   258.0   273.7   295.7   336.7   499.3  1004.4  3082.5  94749.9    95000  1746889198699  1746889203900
read      199.0   102.3    59.1    95.8   105.5   179.4   224.7   247.5   262.8   280.4   304.9   347.6   510.4  1064.0  2385.4 100066.4   100000  1746889205406  1746889210610
read      206.3   131.1    59.1    95.5   105.6   183.1   229.4   253.2   269.6   289.7   317.0   370.8   587.7  1351.2  2860.6 105117.4   105000  1746889212117  1746889217323
read      198.9   123.2    63.8    94.4   103.6   176.6   221.6   245.1   260.6   277.6   301.2   343.8   555.4  1555.2  3545.4 109856.6   110000  1746889218829  1746889224033
read      195.7   109.8    63.8    95.3   104.5   174.1   217.6   241.7   257.7   275.0   299.1   341.4   515.5  1255.1  3092.5 114994.8   115000  1746889225539  1746889230743
read      212.4   144.1    63.8    98.1   108.9   183.1   227.6   253.0   271.5   294.6   328.4   397.0   679.8  1768.8  4021.6 119902.8   120000  1746889232249  1746889237454
read      213.7   172.8    63.8    97.9   108.5   181.0   225.2   250.6   269.6   293.9   329.4   400.9   731.7  2084.1  4661.3 124991.8   125000  1746889238961  1746889244161
read      204.4   136.3    59.1    98.0   108.4   178.5   221.2   245.9   263.3   284.1   312.5   364.8   622.4  1551.1  3603.1 129952.4   130000  1746889245667  1746889250875
read      191.9    89.4    59.1    96.3   105.9   172.0   212.7   236.7   253.6   272.7   297.6   339.0   464.1   859.8  1608.6 135041.6   135000  1746889252381  1746889257583
read      201.4   123.2    59.1    98.3   108.6   176.8   218.1   242.8   260.8   282.6   312.2   364.2   559.4  1298.0  3262.9 140096.1   140000  1746889259089  1746889264294
read      187.6    96.1    63.8    96.5   105.7   167.4   203.8   226.9   243.4   262.9   288.8   331.0   463.1  1001.2  2534.0 145026.7   145000  1746889265799  1746889271002
read      198.1   104.5    59.1   100.1   110.6   177.8   216.6   239.7   256.7   277.2   305.9   351.4   489.2   923.4  2619.8 150002.1   150000  1746889272507  1746889277708
read      204.7   110.2    63.8   102.0   112.9   182.1   220.6   243.8   261.4   283.2   313.5   366.5   564.9  1177.0  2668.5 154989.0   155000  1746889279213  1746889284414
read      210.3   128.6    59.1   103.9   115.2   184.7   222.9   246.1   264.3   287.6   319.7   381.9   631.0  1414.9  3566.2 159939.6   160000  1746889285920  1746889291121
read      204.6    98.9    63.8   104.2   115.6   185.4   223.0   245.3   262.1   282.7   311.2   359.8   505.2   948.6  2050.3 165021.8   165000  1746889292627  1746889297831
read      203.9   101.2    59.1   103.9   115.5   184.3   220.6   242.3   258.9   279.6   308.9   360.1   523.9   947.2  2591.6 169961.8   170000  1746889299336  1746889304540
