#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      177.3    91.6    68.9   119.6   128.3   165.9   182.4   192.6   200.2   211.3   227.3   257.8   365.1  1086.2  3363.9   4980.8     5000  1746886204711  1746886209994
read      172.1   164.1    68.9   113.3   123.3   160.5   176.4   186.1   194.6   204.8   219.6   249.4   344.4  1011.5 10249.7  10008.8    10000  1746886211500  1746886216743
read      169.7    69.3    68.9   109.2   120.6   164.5   179.9   188.2   195.8   204.1   216.5   239.9   310.5   949.5  3110.7  15014.4    15000  1746886218248  1746886223449
read      176.7    61.0    63.8   106.6   119.3   172.7   189.8   199.3   206.8   215.9   229.5   253.7   331.5   754.6  1743.8  20112.0    20000  1746886224954  1746886230154
read      177.7    67.3    63.8   104.4   116.1   176.4   194.2   203.3   210.8   218.3   231.0   252.5   313.8   698.4  2231.1  24931.4    25000  1746886231659  1746886236858
read      181.5    58.7    59.1   101.4   112.5   181.7   201.6   212.3   219.3   229.1   241.4   265.1   326.9   503.5  1620.4  29890.2    30000  1746886238364  1746886243566
read      184.5    75.9    59.1   100.2   111.3   185.2   207.3   218.0   226.6   235.4   249.6   271.6   330.4   533.2  2277.1  34964.4    35000  1746886245071  1746886250272
read      185.9    78.6    63.8   100.7   111.2   187.4   210.9   222.2   230.1   239.4   252.6   274.0   331.0   470.8  2382.2  39932.4    40000  1746886251778  1746886256982
read      186.0   125.4    59.1    98.0   108.3   186.5   212.4   224.4   232.4   242.8   255.5   277.5   335.6   471.2  8279.9  45135.6    45000  1746886258487  1746886263688
read      186.7    65.8    59.1    97.8   107.7   187.0   215.6   228.7   237.2   248.8   263.2   285.9   345.3   514.5  1206.5  50101.0    50000  1746886265194  1746886270394
read      189.5    71.7    63.8    97.6   107.2   187.8   220.3   234.2   245.0   256.8   272.1   295.8   360.1   527.7  1629.0  54880.6    55000  1746886271898  1746886277101
read      190.2   187.6    59.1    97.0   106.4   184.3   218.3   232.7   243.3   254.8   270.6   294.4   353.3   573.1 12188.7  60081.2    60000  1746886278607  1746886283806
read      187.3    83.9    59.1    96.3   105.7   181.3   218.3   233.4   244.6   256.9   272.6   296.6   361.3   529.8  3141.2  65038.7    65000  1746886285310  1746886290512
read      186.0    91.1    63.8    95.3   104.1   177.5   216.8   233.1   244.9   257.9   273.8   298.5   363.5   548.7  2538.8  69953.0    70000  1746886292019  1746886297220
read      186.3    74.1    63.8    95.5   104.3   176.4   217.9   235.3   247.9   261.7   277.7   303.1   365.8   531.2  1271.8  74985.6    75000  1746886298724  1746886303924
read      188.0    78.2    59.1    94.9   103.6   176.9   220.4   239.3   252.6   267.2   284.8   310.9   370.8   515.8  1669.7  79836.6    80000  1746886305430  1746886310632
read      189.5    89.6    59.1    94.7   103.5   176.4   221.5   242.2   256.4   271.5   289.9   316.4   379.1   536.6  1611.1  84772.8    85000  1746886312137  1746886317345
read      184.7    80.6    59.1    92.1   100.9   171.7   215.7   235.6   250.0   265.4   283.4   310.2   370.3   517.4  2330.0  89952.0    90000  1746886318850  1746886324051
read      190.9    79.6    59.1    94.7   103.5   175.7   221.8   244.7   260.4   276.3   295.6   323.7   394.0   591.5  1168.2  95065.5    95000  1746886325556  1746886330761
read      184.8    79.5    59.1    92.8   101.3   169.1   213.1   234.7   250.8   267.8   287.7   315.9   379.5   578.9  1961.2 100033.6   100000  1746886332265  1746886337468
read      188.7   143.4    59.1    93.0   101.8   170.8   215.7   239.0   256.1   274.0   295.2   326.2   400.7   625.8  2319.6 105106.6   105000  1746886338975  1746886344175
read      185.4    84.4    59.1    93.8   102.2   167.8   210.2   233.2   250.8   270.0   291.9   321.3   393.1   617.6  1722.6 109829.4   110000  1746886345680  1746886350882
read      185.0    90.8    59.1    93.8   102.1   166.4   208.3   231.7   249.7   269.9   292.8   324.8   399.1   610.6  2142.0 114964.8   115000  1746886352388  1746886357589
read      188.4    93.8    59.1    94.2   103.0   168.4   210.1   234.0   253.2   274.5   299.1   335.4   420.5   772.4  2471.4 119818.8   120000  1746886359094  1746886364303
read      179.5    75.1    59.1    94.0   101.9   161.7   199.7   222.3   238.8   260.4   284.9   317.1   384.1   508.5  1091.0 124904.3   125000  1746886365808  1746886371015
read      183.2    94.2    63.8    95.7   104.1   163.4   201.4   224.2   241.6   263.8   290.2   327.0   404.8   629.0  3141.5 130060.6   130000  1746886372520  1746886377722
read      181.5   101.1    63.8    95.0   103.3   162.7   199.4   221.3   237.7   259.9   286.0   320.4   395.7   598.9  4335.7 134655.6   135000  1746886379227  1746886384425
read      187.2    83.2    59.1    96.4   105.7   168.1   207.1   230.5   249.3   271.3   296.8   333.9   406.7   576.5  1536.7 140037.2   140000  1746886385929  1746886391128
read      189.1    86.0    63.8    96.3   105.8   170.1   208.9   232.1   251.3   273.0   299.0   338.1   422.0   644.8  1979.7 145080.0   145000  1746886392634  1746886397835
read      190.9    99.1    59.1    98.3   108.1   171.0   208.4   231.2   250.0   272.1   299.8   340.9   435.9   723.3  2169.0 150157.1   150000  1746886399341  1746886404540
read      187.2    82.8    63.8    98.2   108.0   170.0   204.9   226.0   242.4   263.6   290.2   330.5   420.8   643.7  1427.7 155011.0   155000  1746886406046  1746886411246
read      194.4   108.0    63.8   100.3   110.5   173.1   210.7   233.6   252.6   274.9   303.3   344.6   447.9   902.4  4243.6 160011.1   160000  1746886412751  1746886417952
read      193.8    93.0    63.8   101.6   111.7   174.2   209.9   231.9   250.2   272.1   300.1   343.0   446.8   786.9  2597.8 164884.4   165000  1746886419458  1746886424658
read      195.5    91.5    59.1   102.5   113.2   177.7   213.6   235.5   253.7   274.5   301.0   340.0   425.8   685.3  3409.8 169792.3   170000  1746886426163  1746886431368
read      190.6   129.1    63.8   102.0   112.2   173.4   206.9   227.5   243.6   263.8   289.2   327.9   411.3   655.3  2984.2 175002.6   175000  1746886432874  1746886438076
read      195.0    85.0    63.8   104.7   115.4   178.3   212.3   232.9   249.8   270.0   295.4   335.9   426.5   709.1  1806.3 180245.0   180000  1746886439581  1746886444783
read      202.6   115.2    63.8   106.1   117.2   182.3   217.2   238.9   256.3   277.0   305.6   352.2   497.8  1089.0  4365.0 184955.2   185000  1746886446289  1746886451491
read      205.1    93.2    63.8   111.1   123.2   189.0   223.7   245.2   261.5   280.6   305.7   344.3   435.5   683.9  2578.4 190159.3   190000  1746886452997  1746886458198
