Random waveform, supplied seed
Total number of intervals = 98 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757)
Average QPS expected = 94373
Timestamp start: 1747301009018
Timestamp end: 1747301789344

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      232.0   222.5    68.9   108.8   119.8   192.9   239.1   267.7   288.3   312.2   342.5   395.6  1111.4  2841.2  8138.9 128772.5   128494
read      223.6   114.4    74.4   115.1   130.0   219.0   248.0   262.8   272.9   286.3   302.9   331.0   453.7  1573.5  3806.7  20793.1    20789
read      257.9   212.1    68.9   104.9   115.7   230.5   289.2   320.9   343.1   368.2   398.7   453.0   778.8  3062.2  7188.8  63674.6    63647
read      252.0   194.1    68.9   104.0   114.3   227.0   285.8   317.8   340.6   365.9   396.0   442.6   658.3  2751.7  4408.1  64731.9    64802
read      249.6   179.5    68.9   104.8   115.2   229.7   284.0   313.5   333.9   357.0   384.9   427.5   633.6  2506.0  4759.0  55792.8    55719
read      330.3   310.6    68.9   151.9   174.7   287.3   336.1   365.1   387.2   414.4   452.4   520.1  1504.8  3617.1  8370.5 174290.9   174179
read      212.9   171.9    68.9   104.7   114.6   184.0   233.7   263.4   283.4   305.4   331.2   368.6   472.5  2285.2  6316.3 106367.2   106356
read      260.9   184.9    68.9   134.8   152.1   240.4   281.6   305.7   323.2   345.6   376.8   430.0   570.2  2006.1  8531.7 178971.0   178750
read      212.0   173.2    68.9   104.7   114.4   182.6   231.9   262.1   282.5   304.9   330.8   368.4   474.9  2394.0  7455.6 106124.8   105831
read      211.3   153.4    68.9   104.5   114.4   182.0   229.8   259.9   280.8   304.0   331.3   371.2   520.0  1861.3  5893.5 110551.4   110667
read      189.8   105.1    80.4   125.6   138.7   180.9   199.3   210.2   217.4   227.2   238.4   258.2   342.6  1398.4  3487.5   8765.5     8803
read      256.7   332.7    68.9   106.5   117.4   228.1   277.7   303.9   320.7   340.6   365.4   402.3   744.4  6625.3  9844.1  45670.9    45662
read      241.3   243.7    74.4   109.4   121.2   224.2   262.3   281.8   294.8   310.4   329.7   362.3   655.8  3701.4  7945.4  30848.0    30867
read      255.7   304.7    74.4   106.4   117.2   228.4   278.5   304.6   321.6   341.6   366.2   402.2   770.8  6040.9  8331.0  45715.6    45656
read      250.5   314.7    68.9   106.2   116.8   196.5   253.1   285.3   308.4   336.1   375.5   473.7  1245.7  4010.2 10809.4 100865.9   100938
read      212.9   195.6    68.9   107.4   118.1   185.0   227.3   254.2   274.1   297.2   324.8   365.6   471.5  2635.6  8682.7 132033.4   132360
