#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      226.8   182.4   118.1   157.3   165.3   207.0   226.9   237.9   247.2   257.2   271.1   294.7   533.7  2930.5  6349.9  29994.2    30000  1745445171036  1745445181181
read      225.4   199.3   118.1   154.2   162.1   200.8   221.0   232.8   241.9   252.4   267.3   292.9   796.6  3014.7  6319.2  29977.4    30005  1745445182692  1745445192816
read      228.8   200.0   118.1   153.7   162.6   204.2   224.8   235.9   245.8   256.2   271.1   296.4   882.8  3046.6  6273.5  29994.7    30010  1745445194328  1745445204426
read      226.7   205.0   118.1   154.0   162.3   202.0   221.8   232.9   241.7   252.1   266.8   291.6   864.1  3066.7  6313.6  30116.9    30015  1745445205936  1745445216036
read      224.5   192.1   118.1   153.1   161.2   200.9   221.2   232.8   242.0   252.8   267.8   293.1   762.2  3042.0  6216.7  29964.4    30020  1745445217545  1745445227644
read      226.1   213.9   118.1   151.7   159.7   200.3   220.8   232.6   241.7   252.3   267.2   292.3   867.4  3146.5  6296.3  30106.5    30025  1745445229154  1745445239255
read      224.5   189.5   109.4   153.3   161.6   201.2   221.3   233.0   242.3   253.0   268.0   293.5   744.2  3011.7  6238.6  29896.3    30030  1745445240765  1745445250862
read      228.6   201.5   118.1   154.0   162.5   203.7   224.5   235.7   245.5   255.8   270.8   295.9   892.9  3037.6  6273.8  30000.7    30035  1745445252372  1745445262472
read      220.5   178.1   109.4   151.5   159.2   198.7   218.3   230.2   238.5   249.6   263.8   288.5   725.2  2885.0  6089.8  30172.1    30040  1745445263983  1745445274084
read      223.9   199.9   118.1   152.9   161.0   199.6   219.0   230.7   239.0   249.9   264.1   288.4   834.8  3089.7  6294.8  30015.5    30045  1745445275595  1745445285694
read      226.9   191.8   118.1   153.5   162.0   203.0   224.2   235.7   245.6   256.0   270.9   296.3   807.6  2950.4  6249.6  30074.1    30050  1745445287203  1745445297303
read      228.4   196.8   127.6   156.0   164.1   204.6   225.5   236.5   246.1   256.0   270.6   295.2   752.8  3048.9  6279.0  30069.2    30055  1745445298813  1745445308912
read      228.3   201.2   127.6   156.2   163.7   203.2   223.6   234.9   244.5   254.7   269.7   294.8   815.8  3078.2  6230.0  30078.4    30060  1745445310422  1745445320522
read      223.2   190.8   118.1   151.6   159.6   200.0   221.0   232.7   241.8   252.5   267.4   292.1   746.7  2958.5  6215.6  30112.3    30065  1745445322032  1745445332129
read      214.4    87.0   118.1   160.6   167.5   207.0   225.8   235.5   243.7   252.0   263.8   280.5   330.1   823.7  4120.4  30101.3    30070  1745445333639  1745445343737
read      215.9    72.8   118.1   159.2   167.8   209.5   228.2   238.5   246.9   255.5   268.1   286.2   331.0   559.9  3768.1  30020.4    30075  1745445345246  1745445355345
read      214.5    73.4   118.1   160.9   167.9   207.7   226.2   235.9   244.2   252.6   264.9   282.5   333.7   575.8  3483.8  30080.1    30080  1745445356855  1745445366954
read      216.2    77.5   118.1   161.0   168.7   209.6   228.1   237.9   246.1   254.2   266.7   284.6   333.4   646.9  3214.8  30086.5    30085  1745445368464  1745445378564
