Random waveform, supplied seed
Total number of intervals = 100 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237)
Average QPS expected = 93343
Timestamp start: 1747173157321
Timestamp end: 1747174157631

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      227.5   192.3    63.8   105.0   116.1   191.9   237.8   266.7   287.7   312.3   343.5   394.9  1073.4  2451.1  5335.3 128411.1   128494
read      234.0   103.3    68.9   111.3   129.8   228.0   265.4   285.0   298.4   315.1   335.9   367.3   434.2   963.8  3094.7  20742.3    20789
read      254.4   137.8    63.8    98.0   108.3   228.0   303.5   345.6   374.3   404.5   440.4   492.5   589.9   828.4  2317.5  63606.0    63647
read      254.2   137.5    63.8    98.3   108.6   227.3   303.3   345.8   374.5   405.0   441.7   493.8   585.0   744.9  2619.1  64873.2    64802
read      253.6   157.6    63.8    97.7   108.3   234.2   301.5   338.9   364.4   391.8   423.7   467.6   553.3   946.0  6244.0  55603.0    55719
read      365.8   286.1    74.4   174.2   197.4   331.5   390.9   421.7   443.4   468.7   504.0   569.2  1506.3  3425.8  7784.2 174129.3   174179
read      265.2   265.6    63.8   103.0   114.0   201.3   254.5   286.8   311.5   343.2   397.1   682.3  1409.3  2836.7  7136.9 106213.8   106356
read      368.6   254.5    74.4   171.1   195.5   332.0   394.9   430.0   457.2   492.0   543.5   653.2  1079.8  3310.4  8287.2 178443.5   178750
read      309.2   346.4    68.9   109.9   123.7   226.7   283.6   319.0   348.1   391.7   476.2   861.9  1626.1  3385.3  8938.4 105840.4   105831
read      295.0   337.7    63.8   106.2   118.3   213.0   269.5   303.9   330.7   366.3   427.2   850.5  1650.4  3365.0  7955.9 110699.2   110667
read      203.6    95.0    74.4   125.0   141.0   194.5   217.5   230.7   240.5   252.9   269.6   296.8   379.8  1115.6  3538.6   8828.5     8803
read      250.6   120.7    63.8   100.0   111.5   237.0   295.9   327.8   349.6   373.5   402.4   445.1   537.8   850.2  2517.1  45536.5    45662
read      244.3   114.3    63.8   105.4   120.1   235.5   281.4   304.9   320.8   340.3   364.8   401.8   502.1  1198.9  2922.2  30862.6    30867
read      254.0   198.3    63.8   100.7   112.4   234.0   291.1   321.2   342.1   366.1   395.2   439.0   578.2  2603.5  7768.1  45694.3    45656
read      256.7   239.4    68.9   103.5   114.7   203.2   267.6   312.0   348.6   397.4   462.0   559.5   808.1  2212.0  8067.4 100855.6   100938
read      225.8   192.2    63.8   106.3   117.6   192.8   237.4   265.6   286.1   310.4   341.5   393.8   701.6  2507.6  7147.5 132283.7   132360
read      245.2   181.7    63.8    97.4   107.5   218.2   283.7   320.2   345.7   374.0   408.7   460.6   585.8  1796.6  7242.6  67625.6    67591
read      230.4   100.9    68.9   100.1   112.6   221.9   267.6   291.5   308.3   327.3   351.6   389.4   466.9   799.4  2442.3  33797.3    33910
read      237.9   129.0    63.8    97.3   106.8   202.3   278.0   323.6   354.2   386.5   423.2   472.8   574.3   705.0  1530.5  85654.0    85729
read      208.6    83.5    68.9   115.0   132.7   201.8   229.9   245.3   256.3   269.9   287.7   315.0   380.1   861.6  3502.5  12874.1    12884
read      237.2   122.7    63.8    97.3   108.0   225.6   279.8   308.7   328.2   349.8   376.2   416.5   499.1   726.3  4555.8  45595.1    45621
read      241.1   133.2    63.8   100.1   112.2   231.3   280.2   305.7   322.6   342.1   366.8   402.7   495.0  1450.2  4190.5  36890.3    36938
read      250.2   142.2    63.8    96.9   106.8   227.4   293.9   331.3   356.7   384.8   418.7   470.0   622.9  1198.3  3104.0  56818.9    56902
read      249.2   189.4    63.8   101.8   112.4   196.4   259.2   302.1   339.1   390.3   458.7   556.8   778.3  1732.4  5924.1 102278.4   102243
read      218.8   160.7    68.9   112.6   133.1   206.7   234.8   250.9   262.6   275.2   294.0   322.8   409.2  2608.7  7526.3  14107.4    14085
read      257.4   154.5    63.8   101.5   112.2   204.6   289.1   353.9   395.0   435.1   480.2   543.5   672.1   907.1  2865.2  94233.9    94103
read      243.7   125.4    63.8    96.4   106.2   227.4   291.4   326.6   350.4   376.6   406.5   450.6   535.9   673.6  2136.6  58162.2    58175
read      240.8   213.1    63.8   112.1   125.1   204.5   249.4   276.4   296.7   320.9   353.7   407.2  1275.8  2577.9  6957.9 151127.3   151312
read      246.8   140.4    63.8    99.0   109.0   206.7   286.3   335.8   369.3   404.0   444.6   501.2   611.4   784.0  2485.0  83126.6    83333
read      274.2   253.6    68.9   125.5   141.8   234.2   282.3   310.3   331.4   357.6   393.7   459.5  1397.4  3355.2  7827.3 164889.9   165153
read      215.7   156.4    63.8   103.4   113.6   185.8   231.1   259.4   279.9   304.1   334.5   381.9   596.8  2107.6  4054.5 123850.2   123975
read      237.4   139.4    63.8   102.9   117.0   228.4   270.8   293.2   309.3   327.8   351.2   387.9   469.3  1489.1  5234.5  28430.7    28449
read      220.2   236.0    68.9   111.6   132.1   210.0   238.2   254.2   266.2   279.7   297.2   325.8   393.4  1212.1 11430.8  14928.0    14903
read      238.3   162.8    63.8   100.3   113.7   228.2   273.1   296.4   312.9   332.0   356.2   393.4   478.5  1375.4  7155.7  31272.1    31189
read      231.8   105.3    63.8    97.5   108.6   223.2   273.4   299.4   316.7   336.0   359.3   393.2   463.9   878.5  2468.6  40646.9    40636
read      241.1   146.1    63.8    96.4   105.9   207.1   283.5   327.6   357.2   388.5   424.7   475.3   577.3   759.0  4051.0  80613.6    80574
read      249.4   217.0    68.9   117.4   131.7   213.9   257.8   283.7   302.5   325.1   356.0   408.6  1337.2  2919.1  6561.6 168752.2   168820
read      216.1   150.7    63.8   111.1   123.1   193.3   231.5   255.1   272.9   294.2   321.0   365.9   493.5  1995.0  5204.8 162751.5   162621
read      232.9   140.8    63.8    99.0   109.0   189.5   253.3   295.9   330.7   373.0   424.9   497.5   635.3   915.2  3248.7 101787.8   101621
read      235.1   117.5    63.8    95.6   105.0   220.9   280.6   313.3   335.5   359.7   388.0   427.1   501.5   630.8  2258.3  58671.3    58592
read      245.9   242.6    63.8   109.7   121.5   201.0   247.6   274.8   295.1   318.9   351.7   411.7  1454.7  2750.8  7342.0 152799.0   153042
read      241.5   165.6    63.8   100.8   111.3   189.5   246.3   285.9   319.1   368.4   447.0   568.3   822.8  1352.9  2747.0 112214.3   112238
read      223.8   183.8    63.8   109.9   121.5   194.1   235.1   261.0   279.4   301.8   331.1   377.8   660.2  2338.2  5210.3 160258.8   160265
read      235.9   118.7    63.8    96.1   106.2   222.1   280.3   312.6   334.5   358.5   386.5   426.0   502.1   745.0  2999.3  57184.8    57109
read      240.9   138.1    63.8    97.3   107.1   200.1   279.4   329.2   362.1   395.6   433.3   488.4   589.4   804.9  2541.8  88513.7    88551
read      190.6    93.2    68.9   120.9   133.1   182.2   203.5   216.5   226.3   237.1   252.7   277.3   336.5  1035.9  3676.6   8334.3     8385
read      227.2   104.6    63.8    99.7   112.3   220.9   265.1   287.3   302.4   319.3   341.1   372.2   436.2   948.1  2544.8  34103.7    34088
read      211.5   136.9    63.8    98.1   107.7   177.9   227.5   257.6   278.5   302.9   335.4   399.5   709.3  1414.0  2730.6 113698.4   113600
read      193.3   105.6    63.8    99.7   109.3   171.5   213.2   240.1   260.6   283.0   309.3   344.9   418.3   577.8  1672.2 131866.7   131842
read      195.0    93.7    63.8    97.4   106.6   172.7   220.3   248.8   267.9   288.4   312.6   346.6   423.3   600.9  2157.5 112080.0   112066
read      201.0    86.0    63.8    95.9   105.2   190.4   238.4   260.0   273.8   290.2   310.7   341.2   403.4   511.5  1835.3  72626.7    72585
read      193.0    88.2    63.8    99.5   109.1   171.7   213.1   239.8   259.7   281.8   308.1   344.1   420.4   625.9  1810.1 133511.5   133669
read      188.7    98.1    68.9   119.8   133.5   181.1   200.9   213.2   222.0   232.8   247.8   271.7   327.6  1026.6  4332.9  11790.7    11820
read      189.7    70.0    68.9   119.8   133.5   182.5   203.3   215.8   225.2   235.6   251.5   275.9   334.3   633.8  2009.9  12604.4    12639
read      193.0    93.0    59.1    97.0   106.1   170.7   216.4   244.9   264.8   286.2   311.3   345.8   419.2   576.0  2071.5 118510.1   118548
read      206.9   113.4    63.8   110.3   121.8   187.9   224.8   247.6   265.0   285.7   312.0   351.6   449.5   974.3  3349.9 165971.2   165754
read      197.3    85.3    59.1    95.1   103.9   180.5   232.4   257.4   273.0   290.7   312.3   343.3   407.0   520.8  1190.8  86727.0    86823
read      195.9    76.6    68.9   116.1   131.9   190.2   213.1   226.0   234.8   247.2   263.0   288.3   345.2   458.1  2707.8  16849.9    16898
read      193.8    88.9    63.8    98.1   107.5   171.8   216.3   244.0   264.0   285.7   311.0   345.8   424.4   649.3  1706.6 123215.6   123124
read      201.0    88.3    63.8    95.8   105.1   190.9   238.4   259.9   273.7   290.1   310.2   340.3   402.3   506.8  1975.0  72325.1    72278
read      205.0    80.4    63.8    99.0   109.9   203.0   237.8   255.5   268.2   282.9   301.6   332.8   400.5   502.2  2098.4  47683.3    47757
