#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      177.3   398.0    74.4   113.8   122.1   154.4   169.2   178.9   186.2   196.8   211.6   236.1   318.1  6309.6 16503.1   4926.6     5000  1746884766105  1746884771434
read      169.4    59.6    63.8   111.8   123.0   162.6   178.6   187.6   195.8   205.0   218.9   245.5   311.1   996.0  2202.9   9964.2    10000  1746884772940  1746884778182
read      177.2    61.7    68.9   107.7   120.6   170.3   188.6   200.2   209.6   220.5   235.3   263.2   339.3   907.4  1942.0  15030.0    15000  1746884779686  1746884784887
read      186.0    71.4    63.8   104.6   118.5   180.0   202.5   216.8   227.3   239.2   255.3   282.7   342.0   617.0  2092.1  19962.8    20000  1746884786393  1746884791593
read      190.0    69.5    63.8   102.4   114.9   184.0   211.4   226.7   236.6   249.9   267.1   293.1   354.9   489.7  2160.7  24959.8    25000  1746884793098  1746884798302
read      196.2    84.4    63.8    99.3   111.1   188.9   222.2   239.1   251.4   265.4   282.5   309.0   369.0   619.2  2555.1  30112.1    30000  1746884799807  1746884805011
read      201.0   210.8    63.8    96.8   107.7   188.7   225.7   244.6   257.4   271.3   289.3   316.5   382.2  1116.7 11515.6  35030.6    35000  1746884806516  1746884811716
read      203.4    85.2    63.8    95.7   106.1   196.0   237.1   257.3   269.9   284.8   303.1   330.8   392.1   512.7  2341.6  39883.1    40000  1746884813222  1746884818422
read      210.1    89.1    63.8    97.3   108.0   201.0   246.5   267.4   281.3   296.9   317.0   345.6   413.4   614.3  2012.4  44908.4    45000  1746884819926  1746884825129
read      210.5    98.8    59.1    98.1   108.8   196.1   245.0   268.2   283.8   301.2   321.5   354.5   435.3   911.2  2993.1  49974.0    50000  1746884826635  1746884831833
read      211.9    93.3    59.1    94.1   103.8   201.4   251.8   275.2   291.8   310.1   332.1   363.6   429.7   592.6  1312.6  54905.4    55000  1746884833338  1746884838540
read      214.8   110.3    59.1    93.2   102.4   204.4   254.8   279.1   296.0   315.3   338.2   370.6   439.6   625.7  4060.4  60074.3    60000  1746884840046  1746884845248
read      211.3   116.7    59.1    93.3   102.2   194.2   247.4   274.4   293.6   314.3   338.7   372.8   449.7   827.4  3678.9  64966.8    65000  1746884846754  1746884851957
read      210.7    99.7    59.1    93.2   101.8   191.8   247.5   276.3   297.4   319.7   345.5   382.6   458.1   608.8  2097.8  70016.4    70000  1746884853462  1746884858662
read      217.7   105.4    59.1    92.5   101.6   200.7   259.7   289.7   310.6   333.4   360.0   396.4   468.1   593.9  1935.2  74851.0    75000  1746884860168  1746884865372
read      218.7   108.6    59.1    92.9   101.9   198.6   259.4   291.6   314.0   338.2   366.3   404.3   486.5   645.3  1885.2  80010.0    80000  1746884866877  1746884872079
read      220.7   117.1    59.1    94.2   102.9   195.8   261.3   295.9   319.9   345.2   374.2   415.6   497.4   632.4  1863.2  85257.2    85000  1746884873583  1746884878787
read      219.8   111.7    59.1    93.6   102.4   193.2   259.7   295.6   320.0   345.8   375.4   418.3   501.3   664.8  1836.9  90105.1    90000  1746884880292  1746884885492
read      226.3   124.7    63.8    95.3   104.2   194.1   265.0   304.6   331.4   359.4   392.0   438.0   541.2   788.3  2334.4  94934.8    95000  1746884886995  1746884892196
read      219.8   119.8    63.8    94.4   103.0   183.6   252.3   294.9   324.3   354.0   387.3   433.4   535.7   790.6  1886.0  99990.6   100000  1746884893701  1746884898903
read      217.1   122.7    63.8    93.4   101.8   179.8   247.4   290.8   321.3   351.8   385.5   431.6   527.3   761.4  2256.0 105054.6   105000  1746884900407  1746884905611
read      227.3   135.6    63.8    95.9   105.6   186.0   254.9   302.6   335.9   369.1   405.8   458.3   569.6   909.2  4104.1 110207.2   110000  1746884907117  1746884912322
read      229.9   130.2    63.8    95.8   105.4   186.1   257.4   306.7   341.7   376.9   416.6   472.3   605.9   812.8  1835.4 114678.1   115000  1746884913829  1746884919030
read      232.5   132.3    59.1    97.1   107.0   186.8   258.2   312.3   349.9   385.8   425.4   481.8   608.5   796.6  1993.5 120021.0   120000  1746884920536  1746884925736
read      238.1   145.6    59.1    98.0   108.6   190.3   261.2   316.8   355.5   392.8   433.9   496.5   645.5  1018.1  2863.5 125324.6   125000  1746884927242  1746884932444
read      265.1   188.5    63.8   103.3   114.6   198.5   270.9   344.3   395.0   445.1   505.8   611.6   864.9  1376.3  4348.3 129585.2   130000  1746884933949  1746884939150
read      277.9   189.4    59.1   105.0   118.0   217.5   295.1   357.0   399.2   447.1   512.2   639.3   916.3  1379.6  3578.2 135094.2   135000  1746884940655  1746884945859
read      299.8   244.8    63.8   110.2   123.1   206.6   276.2   361.8   429.6   504.1   614.7   804.3  1188.1  1701.6  3967.8 139697.8   140000  1746884947365  1746884952572
read      465.0   795.1    63.8   134.5   154.6   233.7   263.5   282.5   298.8   332.2   740.8  2571.0  3477.5  7689.7  9105.2 140232.6   145000  1746884954076  1746884959282
read      315.5   331.8    63.8   112.2   125.0   195.0   242.5   304.7   407.2   531.3   699.8   967.0  1685.0  2723.7  7360.2 149847.3   150000  1746884960786  1746884965990
read      463.5   821.1    68.9   132.2   153.1   231.7   258.2   274.9   291.6   317.9   489.4  2712.9  3642.0  7740.2  9171.8 143171.4   155000  1746884967496  1746884972698
read      447.8   811.3    63.8   132.0   154.5   221.3   245.2   261.2   274.4   298.4   417.2  2644.5  3614.4  7720.5  8983.2 148089.1   160000  1746884974203  1746884979409
read      461.5   818.3    68.9   130.6   150.2   232.3   258.8   274.6   290.2   314.2   457.6  2727.3  3488.5  7719.0  8882.1 143905.8   165000  1746884980914  1746884986120
read      439.8   802.7    68.9   133.6   156.2   217.8   240.1   254.7   269.4   292.3   403.0  2594.4  3571.4  7706.9 10001.3 151094.0   170000  1746884987625  1746884992832
read      476.7   826.6    63.8   135.7   157.9   240.0   268.7   287.5   303.7   332.2   583.3  2691.5  3742.5  7729.1  9101.7 139202.1   175000  1746884994338  1746884999540
read      445.7   794.9    63.8   132.3   155.5   221.8   245.6   262.1   276.0   305.6   494.2  2608.5  3519.4  7672.5  8855.1 148811.8   180000  1746885001043  1746885006246
read      470.4   836.2    63.8   132.7   153.4   233.9   263.9   283.4   300.0   329.2   492.1  2747.7  3792.1  7749.1  9628.7 141491.8   185000  1746885007751  1746885012952
