1747126385.6996217,2025-05-13 08:53:05,7.70,100.00,100.00,100.00
1747126387.2032151,2025-05-13 08:53:07,23.30,100.00,100.00,100.00
1747126388.707763,2025-05-13 08:53:08,11.10,100.00,100.00,100.00
1747126390.2122614,2025-05-13 08:53:10,8.10,100.00,100.00,100.00
1747126391.7156396,2025-05-13 08:53:11,2.60,100.00,100.00,100.00
1747126393.2188652,2025-05-13 08:53:13,2.60,100.00,100.00,100.00
1747126394.722608,2025-05-13 08:53:14,5.00,100.00,100.00,100.00
1747126396.2263372,2025-05-13 08:53:16,4.90,100.00,100.00,100.00
1747126397.7294981,2025-05-13 08:53:17,2.50,100.00,100.00,100.00
1747126399.232599,2025-05-13 08:53:19,5.00,100.00,100.00,100.00
1747126400.7366652,2025-05-13 08:53:20,2.80,100.00,100.00,100.00
1747126402.2403088,2025-05-13 08:53:22,0.00,100.00,100.00,100.00
1747126403.7439332,2025-05-13 08:53:23,2.90,100.00,100.00,100.00
1747126405.2479377,2025-05-13 08:53:25,8.10,100.00,100.00,100.00
1747126406.7508075,2025-05-13 08:53:26,8.30,100.00,100.00,100.00
1747126408.2546804,2025-05-13 08:53:28,5.60,100.00,100.00,100.00
1747126409.7583745,2025-05-13 08:53:29,0.00,100.00,100.00,100.00
1747126411.2636564,2025-05-13 08:53:31,100.00,100.00,100.00,100.00
1747126412.788947,2025-05-13 08:53:32,100.00,100.00,100.00,100.00
1747126414.3257513,2025-05-13 08:53:34,70.30,65.70,100.00,100.00
1747126415.829325,2025-05-13 08:53:35,67.60,68.60,100.00,100.00
1747126417.3325043,2025-05-13 08:53:37,67.60,71.80,100.00,100.00
1747126418.8366039,2025-05-13 08:53:38,64.90,68.60,100.00,100.00
1747126420.341271,2025-05-13 08:53:40,26.80,17.10,100.00,100.00
1747126421.8715332,2025-05-13 08:53:41,11.50,100.00,100.00,100.00
1747126423.393145,2025-05-13 08:53:43,15.40,100.00,100.00,100.00
1747126424.8995848,2025-05-13 08:53:44,19.20,100.00,100.00,100.00
1747126426.4023843,2025-05-13 08:53:46,18.50,100.00,100.00,100.00
1747126427.9058616,2025-05-13 08:53:47,15.40,100.00,100.00,100.00
1747126429.4092891,2025-05-13 08:53:49,19.20,100.00,100.00,100.00
1747126430.9126546,2025-05-13 08:53:50,100.00,100.00,100.00,100.00
1747126432.4446204,2025-05-13 08:53:52,98.00,100.00,100.00,100.00
1747126433.9914732,2025-05-13 08:53:53,100.00,100.00,100.00,100.00
1747126435.495377,2025-05-13 08:53:55,95.90,98.00,100.00,100.00
