#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.1   390.3    86.8   148.1   163.3   253.6   308.3   349.1   389.4   453.5   582.5   865.3  1960.2  5125.9  7417.1  29909.6    30000  1745424267591  1745424277755
read      386.1   478.6    86.8   140.1   152.6   224.9   269.0   308.6   370.2   636.6   857.9  1438.2  2205.3  5004.0  8090.6  29934.0    30005  1745424279266  1745424289390
read      395.1   511.3    80.4   139.2   152.1   226.0   272.7   316.3   388.1   646.0   858.8  1486.9  2286.9  6144.3  8982.3  29996.2    30010  1745424290899  1745424301000
read      485.8   684.8    93.8   146.0   160.5   244.8   305.7   382.3   539.8   777.1  1129.8  1808.6  3460.1  6365.6  8635.5  29893.7    30015  1745424302511  1745424312612
read      507.3   666.6    93.8   156.8   172.4   261.6   329.0   418.6   621.9   846.6  1246.6  1841.8  2980.4  6352.5  8543.3  30069.4    30020  1745424314124  1745424324223
read      516.2   691.4    93.8   160.7   176.4   268.1   336.9   422.3   595.2   839.2  1247.7  1868.4  3209.1  6380.6 10510.5  30058.3    30025  1745424325733  1745424335831
read      309.4   351.3    86.8   148.8   162.6   239.7   278.4   302.6   321.3   349.0   399.6   675.2  1811.6  4822.3 11072.3  30006.7    30030  1745424337341  1745424347438
read      247.5    98.9    93.8   149.9   163.7   235.6   268.2   286.4   299.2   315.8   337.8   372.8   470.0  1045.1  3354.0  30173.8    30035  1745424348948  1745424359048
read      251.8   130.6    93.8   150.5   164.6   237.4   270.1   288.8   302.4   318.7   341.8   379.7   502.7  1544.0  5319.7  30070.5    30040  1745424360557  1745424370655
read      247.8   106.8    93.8   150.3   164.2   235.5   267.8   286.0   298.8   315.4   337.4   371.8   469.4  1155.7  4346.4  30094.1    30045  1745424372166  1745424382263
read      247.6   112.1    93.8   150.2   163.7   234.4   266.6   284.7   297.2   314.1   336.6   373.0   480.9  1357.7  4483.0  30076.5    30050  1745424383772  1745424393873
read      247.3   131.5    93.8   149.4   162.7   233.2   265.1   283.1   295.9   312.8   335.0   370.6   482.3  1772.7  5016.5  30036.0    30055  1745424395383  1745424405482
read      243.5    97.8    86.8   149.5   162.5   231.4   263.4   281.3   294.4   311.1   332.8   367.9   465.1   991.3  3433.4  30109.5    30060  1745424406992  1745424417091
read      243.3   102.2    93.8   149.4   162.6   231.5   262.9   280.4   293.5   309.6   330.4   364.9   454.0  1203.2  4088.6  30112.6    30065  1745424418601  1745424428699
read      246.3   104.4    86.8   149.4   162.9   233.6   266.1   284.1   296.7   313.6   335.4   370.6   472.6  1361.1  3062.2  30129.3    30070  1745424430211  1745424440310
read      246.9   116.1    86.8   149.6   163.0   233.3   266.0   284.4   297.4   314.5   336.9   372.6   473.0  1482.8  4185.9  29984.8    30075  1745424441822  1745424451922
read      248.5   114.3    86.8   151.1   164.6   234.7   266.8   284.8   297.4   314.5   337.0   373.7   496.0  1398.2  3978.7  30080.5    30080  1745424453432  1745424463530
read      245.1   103.3    86.8   150.3   163.6   232.2   264.1   282.0   295.0   311.6   333.4   369.0   470.0  1209.4  3882.5  30150.6    30085  1745424465038  1745424475145
