Random waveform, random seed
Total number of intervals = 100 (25895, 129396, 131616, 164434, 126746, 37897, 78402, 69215, 20918, 142002, 66642, 175856, 106579, 77018, 94823, 71436, 80579, 82888, 39588, 150783, 127549, 57096, 37470, 64455, 163710, 33102, 162932, 84946, 149463, 161480, 169479, 32423, 132386, 161956, 123967, 60799, 157220, 150765, 172617, 108776, 85677, 7749, 18368, 156970, 152362, 64045, 109021, 168297, 119421, 140840, 140152, 132335, 167388, 64169, 92464, 162687, 164935, 139822, 174082, 49146, 132341, 102434, 74893, 72801, 81853, 138251, 29677, 5187, 10645, 38925, 27915, 143482, 91263, 93326, 115340, 142096, 77033, 159926, 135049, 106237, 103893, 90921, 126128, 163160, 67256, 166224, 112199, 26366, 174247, 24848, 32166, 174907, 95344, 84413, 126617, 143599, 134881, 88308, 126796, 6602)
Average QPS expected = 103427
Timestamp start: 1747170015711
Timestamp end: 1747171016017

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      311.1   280.7    68.9   135.9   156.0   266.5   321.8   357.3   384.4   417.9   463.1   540.8  1420.1  3435.1  8451.9 157109.8   157220
read      250.2   196.1    63.8   118.4   133.6   220.8   266.4   293.3   313.9   339.3   373.5   434.0   680.0  2843.5  5321.5 150869.6   150765
read      330.6   252.2    68.9   154.6   178.4   300.0   358.7   392.4   417.1   446.7   485.7   548.1   780.7  3401.1  7891.3 172799.1   172617
read      306.6   376.2    63.8   108.7   121.8   215.8   274.0   313.5   347.6   403.4   522.1   788.6  1729.0  4526.4  8097.9 108767.7   108776
read      265.4   289.8    63.8   101.7   112.9   212.8   281.6   324.0   356.8   396.0   446.6   529.0   924.9  3315.8 11588.0  85825.2    85677
read      214.9   226.2    74.4   128.6   140.7   191.1   213.4   226.3   235.1   248.2   266.3   298.7   848.5  2877.7  8108.3   7767.0     7749
read      229.4   149.9    68.9   110.4   129.4   217.0   249.8   267.7   280.5   295.7   316.4   349.1   509.4  2089.3  6105.8  18484.9    18368
read      275.2   325.0    63.8   119.1   134.7   225.2   273.6   302.4   323.5   350.1   387.1   453.8  1504.4  4225.6  8740.1 156850.0   156970
read      227.4   175.5    63.8   111.5   124.2   200.2   242.5   268.4   287.8   310.8   340.6   389.7   537.6  3034.9  5152.7 152094.9   152362
read      266.8   344.7    63.8    97.3   108.0   224.8   289.5   326.4   352.4   381.4   416.5   469.5   875.9  5557.7 10439.0  63917.8    64045
read      308.6   380.9    63.8   106.0   118.9   214.5   278.7   325.2   370.0   440.3   549.8   782.6  1581.2  5006.6  9478.7 109193.3   109021
read      261.2   249.6    68.9   122.3   138.6   226.5   271.4   297.9   318.0   342.6   375.4   432.8   903.4  3507.6  7911.9 168282.5   168297
read      264.5   336.4    63.8   103.0   114.4   198.3   249.6   280.2   303.2   331.5   371.8   493.4  1641.9  4049.2  7922.0 119357.9   119421
read      220.5   195.1    63.8   105.3   116.6   190.0   232.9   259.7   279.3   302.8   333.2   380.9   566.8  3212.0  7110.5 140963.3   140840
read      215.0   167.9    63.8   104.6   115.8   188.1   230.3   256.5   275.7   298.8   328.5   373.9   511.7  2319.3  6702.3 140132.9   140152
read      249.9   294.7    63.8   104.5   116.1   195.9   244.0   272.5   293.4   318.2   352.9   422.8  1503.3  3522.0  7646.4 132404.0   132335
read      266.5   249.3    63.8   122.1   138.4   227.8   273.6   300.6   320.5   345.6   380.3   442.7  1354.6  3367.3  7635.8 167648.5   167388
read      262.8   321.1    63.8    95.9   106.2   223.2   288.0   324.4   350.0   378.8   413.2   466.1   861.5  5202.9 10073.4  64092.7    64169
read      267.8   360.0    63.8    99.3   110.3   203.9   273.3   318.1   353.2   393.6   443.4   522.3  1261.7  5460.9 11673.9  92431.8    92464
read      288.7   316.7    63.8   123.7   140.8   236.7   285.9   314.4   336.2   363.2   400.2   474.8  1548.8  3989.8  7941.8 162678.4   162687
read      230.6   169.8    63.8   115.5   129.6   207.2   247.8   271.9   290.2   312.4   341.6   389.8   524.8  2468.7  6162.3 164939.4   164935
read      253.7   353.2    63.8   106.4   118.5   199.0   246.4   273.9   294.2   318.1   350.0   405.9  1754.0  4083.6  8627.4 139750.8   139822
read      236.0   156.0    63.8   120.6   135.7   214.9   254.0   277.4   295.1   317.1   346.4   397.7   544.9  1901.6  6094.9 174191.5   174082
read      233.9   113.5    63.8    97.8   108.7   223.0   275.1   304.0   323.5   345.3   371.2   406.9   481.5   940.3  2599.5  49193.8    49146
read      308.2   365.6    63.8   107.3   120.5   215.1   266.4   295.3   317.9   348.1   405.1  1293.5  1655.4  3379.0  7766.2 132239.7   132341
read      232.6   155.0    63.8   100.0   110.5   191.7   252.5   292.4   323.2   362.2   412.3   487.4   637.3  1191.4  3520.4 102194.9   102434
read      240.6   130.7    63.8    96.9   107.0   212.7   284.1   324.7   352.1   381.3   415.0   462.7   555.9   900.6  2966.0  74965.2    74893
read      240.3   129.0    63.8    96.8   106.8   215.0   284.6   323.8   350.4   379.2   412.6   459.3   547.3   723.9  3151.6  72703.5    72801
read      241.9   134.0    63.8    97.5   107.8   208.6   283.8   327.7   357.1   388.2   424.5   476.0   578.9   782.8  2494.0  81777.8    81853
read      311.7   377.9    63.8   109.7   123.5   220.6   272.0   301.5   324.2   356.1   415.4  1252.5  1711.7  3532.8  7860.7 138244.9   138251
read      224.3    87.7    63.8   103.1   116.9   220.5   260.1   280.1   294.1   310.6   330.6   360.9   423.8   567.9  1826.1  29570.9    29677
read      185.8   114.4    74.4   125.9   135.1   175.5   194.3   205.2   213.9   224.4   237.8   262.0   322.3  1168.1  6170.3   5215.4     5187
read      199.2    95.6    68.9   120.2   135.5   192.9   216.3   229.0   237.6   249.6   265.2   289.4   343.8   974.3  3326.2  10636.5    10645
read      233.3   108.4    63.8    99.2   111.5   224.1   273.6   298.9   315.9   335.4   359.3   394.6   475.0   933.0  2708.3  38892.0    38925
read      223.6   106.5    63.8   103.3   117.5   219.3   257.4   276.8   290.5   306.0   324.6   354.7   418.3   792.5  4294.3  27898.5    27915
read      229.0   202.0    63.8   105.6   117.2   192.1   235.5   262.8   282.6   306.4   338.0   393.0  1248.4  2607.6  6073.4 143281.5   143482
read      242.2   137.9    63.8    98.8   109.4   200.9   276.1   325.2   359.4   395.1   436.1   495.6   608.4   807.9  2066.5  91268.1    91263
read      242.8   164.1    59.1    99.5   110.2   200.3   270.8   317.8   352.4   390.7   434.6   498.3   624.7  1124.2  5934.1  93436.9    93326
read      275.5   232.4    63.8   104.5   116.8   203.3   260.2   301.6   340.5   407.8   537.2   737.4  1181.4  1864.4  3952.2 115312.7   115340
read      223.1   175.7    63.8   105.7   117.3   191.6   234.8   262.3   282.1   306.1   337.2   389.3   712.0  2387.2  5191.3 142231.9   142096
read      238.7   160.1    63.8    97.6   107.9   211.3   276.7   314.0   339.3   367.5   400.8   451.5   555.7  1243.7  6017.8  77015.8    77033
read      524.8   608.9    63.8   145.4   168.0   272.9   326.4   399.4   743.8  1295.7  1450.4  1639.6  2873.7  4353.4  8037.1 159937.7   159926
read      530.8   645.2    68.9   144.6   166.8   272.0   322.5   385.5   643.1  1299.1  1475.6  1694.0  3207.5  4672.9  8077.5 135048.4   135049
read      521.3   654.8    68.9   143.2   164.8   263.3   315.4   376.0   601.2  1251.5  1461.3  1702.8  3163.0  6996.8  8134.0 106299.1   106237
read      454.1   536.3    63.8   129.4   147.5   248.8   318.0   427.9   615.1   855.6  1175.2  1485.7  2579.5  4598.4  8075.0 103871.1   103893
read      266.0   215.9    63.8   101.9   113.6   210.6   277.3   323.2   357.5   397.5   453.5   578.7  1047.3  2257.4  5814.1  90900.0    90921
read      464.0   502.8    68.9   133.0   152.0   258.4   330.4   445.7   682.6   968.5  1258.9  1466.9  2260.5  3669.0  7918.3 126001.0   126128
read      527.7   620.3    68.9   145.3   167.8   272.7   324.6   392.1   708.5  1307.4  1468.4  1664.1  2974.3  4220.3  8066.3 163010.0   163160
read      363.6   461.0    63.8   109.8   126.0   229.6   286.8   332.3   378.5   472.2   737.8  1318.1  2137.9  4654.0  8080.3  67195.0    67256
read      531.8   619.0    68.9   145.6   167.8   276.0   330.3   401.3   743.1  1309.8  1470.0  1668.9  2920.5  4354.2  8035.5 166111.0   166224
read      502.3   622.3    68.9   138.6   158.2   262.5   315.6   375.4   562.0  1189.8  1435.2  1656.7  2995.4  5139.9  8109.0 112352.4   112199
read      257.1   321.3    63.8   105.2   117.8   207.3   246.7   268.7   285.6   307.6   343.4   488.9  1398.9  3909.9  8056.7  26379.6    26366
read      523.8   617.6    63.8   144.7   166.5   272.7   328.4   402.2   691.7  1281.4  1451.8  1652.3  2979.9  4390.7  8096.4 174276.1   174247
read      293.3   451.9    68.9   107.2   120.5   206.9   246.9   271.4   292.1   323.6   409.5   785.3  1717.4  7659.9  9212.0  24807.1    24848
read      214.3    78.1    63.8   102.1   114.3   212.8   248.5   266.4   278.5   292.9   311.3   338.9   397.0   488.3  1613.1  32191.0    32166
read      530.4   626.8    68.9   144.8   166.8   274.1   327.6   395.0   685.3  1307.2  1471.9  1677.1  3038.5  4305.8  8031.9 174797.1   174907
read      527.4   667.7    68.9   142.6   163.9   267.4   319.1   380.2   608.7  1275.5  1470.5  1703.7  3313.7  7233.3  8123.8  95200.8    95344
read      352.3   407.3    63.8   109.7   124.6   231.6   300.9   358.3   411.8   504.3   705.9  1091.6  1953.0  3723.9  8013.4  84416.6    84413
read      518.0   610.2    68.9   144.2   165.6   270.1   328.9   403.6   710.6  1252.7  1433.5  1625.9  2877.0  4860.1  8100.2 126661.7   126617
read      538.0   652.1    68.9   145.3   167.3   276.2   329.9   396.3   679.0  1318.3  1490.6  1703.3  3177.8  5042.4  9011.7 143405.0   143599
read      539.9   671.6    68.9   145.0   166.6   274.0   328.2   393.2   635.0  1303.4  1501.5  1742.7  3361.6  5326.7  8121.9 134846.4   134881
read      465.4   556.8    59.1   128.1   146.8   256.5   332.7   450.2   626.9   853.7  1180.9  1541.9  2647.0  6552.8  8111.2  88139.0    88308
read      492.5   620.6    63.8   128.6   149.2   259.7   312.4   363.4   482.0  1154.7  1432.2  1664.1  2943.9  5043.0  8091.8 126770.1   126796
read      196.2   152.2    63.8   119.1   132.2   180.6   201.2   214.1   223.6   234.6   251.7   281.4   486.6  1990.8  7371.6   6654.6     6602

Total QPS = 103423.1 (103423072 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 25545498290 bytes :   24.4 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.83%,14.65%,100.00%
