#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      226.1   193.9    93.8   137.0   147.1   201.3   227.6   242.6   253.7   268.2   287.2   319.8   743.4  3081.9  6105.3  30021.7    30000  1745420750457  1745420760678
read      224.7   176.5    93.8   139.4   149.3   202.0   227.8   242.7   253.8   268.2   287.4   320.9   657.9  2567.7  5947.9  29938.2    30005  1745420762188  1745420772308
read      225.4   172.5    93.8   138.5   148.5   202.9   229.4   245.2   257.0   271.5   291.0   325.0   658.4  2546.2  6082.6  29863.1    30010  1745420773817  1745420783915
read      215.8   156.6    93.8   135.9   145.3   197.1   222.1   235.8   247.6   261.2   279.2   311.9   523.1  2445.7  5717.0  29996.0    30015  1745420785426  1745420795523
read      226.8   187.0    93.8   135.3   145.2   200.4   228.2   244.3   256.2   271.8   293.1   335.2   805.9  2636.6  6039.3  30036.4    30020  1745420797033  1745420807134
read      231.2   216.5    93.8   138.4   148.0   201.9   228.7   244.5   256.2   271.8   292.9   335.8   904.9  3075.3  6376.5  30012.5    30025  1745420808643  1745420818741
read      227.6   194.5    86.8   138.2   148.0   203.1   230.2   246.0   257.7   272.3   292.7   329.7   718.8  2665.9  7258.7  29965.6    30030  1745420820251  1745420830349
read      225.0   165.7    93.8   138.6   148.5   202.0   228.6   244.0   255.2   270.3   290.2   326.1   687.3  2534.7  5092.3  29967.8    30035  1745420831858  1745420841957
read      223.9   183.5    93.8   138.8   148.7   201.3   227.2   242.3   253.6   268.3   287.7   321.5   648.9  2526.0  6300.0  30099.8    30040  1745420843467  1745420853566
read      224.7   173.5    86.8   138.7   148.5   201.4   227.7   242.7   253.9   268.7   288.4   322.5   686.7  2546.1  5132.6  29973.9    30045  1745420855075  1745420865172
read      223.3   171.8    93.8   138.0   147.3   200.6   226.6   241.4   252.6   267.2   286.5   320.3   671.6  2496.9  5128.2  30037.3    30050  1745420866681  1745420876780
read      222.6   161.5    93.8   138.3   147.8   201.4   227.9   243.2   254.3   268.9   288.2   320.1   609.8  2481.5  5537.8  30018.8    30055  1745420878289  1745420888388
read      223.2   186.9    93.8   138.9   148.5   200.7   226.1   240.3   251.5   265.5   283.8   316.3   663.2  2537.6  6971.2  30052.4    30060  1745420889896  1745420899993
read      225.3   180.1    93.8   139.6   149.5   202.9   228.8   243.9   254.9   269.7   288.9   322.0   640.2  2574.0  6300.6  30056.1    30065  1745420901502  1745420911602
read      225.8   184.8    93.8   139.5   149.4   201.8   227.9   243.0   254.2   269.0   288.7   323.3   667.4  2667.2  6220.1  30084.1    30070  1745420913111  1745420923209
read      224.7   191.9    93.8   138.4   148.0   201.2   227.0   241.7   253.0   267.5   286.9   320.6   672.7  2587.8  7027.9  30106.2    30075  1745420924718  1745420934817
read      225.3   189.4    93.8   137.7   147.2   200.9   227.5   242.9   254.4   269.4   289.3   325.0   692.0  2875.9  6366.0  30160.6    30080  1745420936327  1745420946424
read      222.8   152.3    93.8   140.4   150.1   201.9   227.4   242.1   253.2   267.4   286.2   318.8   633.6  2406.0  4862.5  30120.9    30085  1745420947933  1745420958031
read      227.2   206.2    93.8   138.2   147.9   201.8   228.3   243.6   254.9   270.1   290.2   327.1   743.8  2994.2  7254.4  30038.6    30090  1745420959540  1745420969640
read      203.8    67.8    86.8   138.2   148.5   198.5   220.0   231.6   240.0   250.3   263.9   284.2   326.2   472.6  2699.6  30132.9    30095  1745420971151  1745420981251
read      204.6    72.0    93.8   139.4   149.5   198.8   220.1   231.7   240.1   250.6   264.3   284.6   325.7   506.3  2842.4  30103.2    30100  1745420982761  1745420992861
read      204.6    82.4    93.8   138.9   149.0   198.7   220.3   231.8   240.2   250.6   264.2   284.3   326.1   557.8  3156.3  30020.6    30105  1745420994370  1745421004469
read      205.4    82.2    93.8   139.9   150.1   199.7   221.2   232.5   241.0   251.2   264.7   284.4   326.0   460.9  3542.4  30260.8    30110  1745421005979  1745421016079
read      205.1    71.5    86.8   139.6   149.7   199.6   221.4   232.6   241.2   251.3   264.9   284.9   326.0   473.6  3162.4  30077.5    30115  1745421017589  1745421027689
read      204.4    65.8    93.8   140.4   150.2   198.9   220.3   231.7   240.1   250.5   264.0   284.1   323.1   439.5  2963.1  30201.9    30120  1745421029198  1745421039300
read      205.7    79.2    93.8   139.7   150.0   200.0   221.7   233.1   241.8   251.9   265.7   285.9   327.1   466.7  3302.7  30089.4    30125  1745421040809  1745421050910
read      205.7    77.3    93.8   139.8   149.9   199.9   221.7   233.1   241.9   252.1   266.0   286.4   328.0   495.6  3312.1  30145.3    30130  1745421052419  1745421062517
read      205.3    75.8    93.8   139.4   149.5   199.2   221.0   232.7   241.5   251.7   265.7   286.5   330.4   531.5  3256.5  30059.9    30135  1745421064026  1745421074125
read      204.5    76.9    93.8   139.3   149.4   198.7   220.5   232.1   240.7   251.0   264.6   284.6   325.0   478.6  3790.9  30168.1    30140  1745421075635  1745421085732
read      203.8    64.8    93.8   139.5   149.4   198.6   220.0   231.4   239.6   249.8   262.7   281.9   321.2   489.5  2601.2  30137.0    30145  1745421087242  1745421097344
read      205.1    69.7    86.8   139.5   149.5   199.3   221.1   232.7   241.5   251.7   265.6   286.4   330.3   485.2  3042.6  30124.8    30150  1745421098854  1745421108951
read      206.4    80.8    93.8   140.4   150.5   199.9   221.8   233.4   242.6   252.8   266.9   287.6   332.6   532.7  4156.0  30185.4    30155  1745421110459  1745421120556
read      206.1    74.1    93.8   140.3   150.5   200.5   222.1   233.4   242.2   252.1   265.7   285.9   327.6   472.0  3410.6  30100.2    30160  1745421122066  1745421132165
read      206.4    69.9    93.8   140.5   150.7   200.9   222.9   234.1   243.1   252.9   266.7   286.9   328.5   465.1  3048.2  30221.0    30165  1745421133675  1745421143771
read      205.9    75.0    93.8   140.4   150.4   200.5   222.1   233.1   241.7   251.6   265.0   284.7   324.5   456.4  3471.3  30150.7    30170  1745421145281  1745421155380
